device_id,os,browser,is_emulator
d_000102,Android,Edge,0
d_000103,Android,Safari,1
d_000104,Android,Edge,1
d_000105,iOS,Firefox,0
d_000106,Linux,Firefox,1
d_000107,Linux,Safari,0
d_000108,Windows,Chrome,1
d_000109,Linux,Edge,0
d_000110,Android,Safari,0
d_000111,Linux,Edge,0
d_000112,Linux,Chrome,0
d_000113,Linux,Safari,0
d_000114,Android,Firefox,1
d_000115,iOS,Chrome,0
d_000116,Android,Edge,0
d_000117,Android,Edge,0
d_000118,Linux,Edge,0
d_000119,iOS,Firefox,0
d_000120,iOS,Safari,0
d_000121,Android,Edge,0
d_000122,Windows,Edge,0
d_000123,iOS,Chrome,0
d_000124,iOS,Chrome,0
d_000125,Android,Edge,0
d_000126,Linux,Chrome,1
d_000127,iOS,Safari,1
d_000128,Linux,Edge,1
d_000129,Android,Chrome,1
d_000130,Windows,Safari,0
d_000131,iOS,Safari,0
d_000132,Windows,Chrome,0
d_000133,Android,Firefox,0
d_000134,Android,Chrome,0
d_000135,Linux,Safari,0
d_000136,Windows,Safari,0
d_000137,Windows,Chrome,1
d_000138,Windows,Firefox,0
d_000139,Linux,Chrome,0
d_000140,Android,Firefox,1
d_000141,iOS,Chrome,1
d_000142,Windows,Edge,0
d_000143,iOS,Chrome,0
d_000144,Android,Edge,0
d_000145,Linux,Firefox,0
d_000146,Windows,Safari,0
d_000147,Linux,Edge,1
d_000148,iOS,Firefox,0
d_000149,Android,Chrome,0
d_000150,Linux,Chrome,0
d_000151,Linux,Edge,0
d_000152,Windows,Firefox,0
d_000153,Android,Safari,0
d_000154,Windows,Chrome,0
d_000155,Windows,Firefox,0
d_000156,Android,Firefox,0
d_000157,Linux,Chrome,0
d_000158,iOS,Firefox,0
d_000159,Linux,Edge,0
d_000160,iOS,Edge,0
d_000161,Linux,Firefox,0
d_000162,Linux,Chrome,1
d_000163,Windows,Chrome,0
d_000164,Windows,Firefox,0
d_000165,iOS,Firefox,0
d_000166,Windows,Edge,0
d_000167,Linux,Safari,0
d_000168,Windows,Firefox,0
d_000169,Windows,Edge,0
d_000170,Linux,Safari,0
d_000171,Linux,Firefox,0
d_000172,Windows,Safari,0
d_000173,Windows,Chrome,0
d_000174,Android,Edge,0
d_000175,Linux,Safari,0
d_000176,Windows,Edge,0
d_000177,Windows,Safari,0
d_000178,iOS,Safari,0
d_000179,Linux,Edge,0
d_000180,Android,Firefox,0
d_000181,Android,Firefox,0
d_000182,Android,Chrome,1
d_000183,Android,Firefox,0
d_000184,Windows,Safari,0
d_000185,Windows,Firefox,0
d_000186,Linux,Chrome,0
d_000187,iOS,Safari,0
d_000188,Android,Chrome,0
d_000189,iOS,Firefox,0
d_000190,Windows,Safari,0
d_000191,iOS,Safari,0
d_000192,Windows,Firefox,0
d_000193,Android,Safari,1
d_000194,Linux,Chrome,0
d_000195,Linux,Chrome,0
d_000196,Linux,Edge,0
d_000197,Linux,Firefox,0
d_000198,Windows,Safari,0
d_000199,Linux,Safari,0
d_000200,Linux,Chrome,0
d_000201,Windows,Edge,1
d_000202,iOS,Safari,1
d_000203,Windows,Firefox,0
d_000204,iOS,Firefox,1
d_000205,Linux,Edge,0
d_000206,Android,Edge,0
d_000207,Windows,Edge,0
d_000208,iOS,Firefox,1
d_000209,iOS,Chrome,0
d_000210,Android,Firefox,1
d_000211,Windows,Edge,0
d_000212,Linux,Safari,1
d_000213,iOS,Edge,0
d_000214,Android,Firefox,1
d_000215,Linux,Edge,0
d_000216,iOS,Safari,0
d_000217,Linux,Chrome,0
d_000218,Windows,Chrome,1
d_000219,iOS,Firefox,1
d_000220,Android,Chrome,1
d_000221,Windows,Edge,1
d_000222,Android,Safari,0
d_000223,Android,Safari,0
d_000224,Linux,Firefox,0
d_000225,Linux,Safari,1
d_000226,Windows,Firefox,0
d_000227,Linux,Firefox,0
d_000228,Android,Edge,0
d_000229,Windows,Chrome,0
d_000230,Android,Chrome,0
d_000231,Android,Firefox,0
d_000232,iOS,Edge,0
d_000233,Windows,Edge,1
d_000234,Linux,Edge,1
d_000235,iOS,Edge,0
d_000236,iOS,Edge,0
d_000237,Linux,Safari,0
d_000238,iOS,Safari,0
d_000239,Android,Chrome,0
d_000240,Linux,Edge,0
d_000241,Android,Safari,0
d_000242,Linux,Edge,1
d_000243,Linux,Edge,0
d_000244,Linux,Firefox,1
d_000245,iOS,Edge,0
d_000246,Linux,Safari,0
d_000247,Linux,Firefox,0
d_000248,Android,Edge,0
d_000249,Android,Edge,0
d_000250,iOS,Firefox,0
d_000251,Android,Chrome,1
d_000252,Linux,Chrome,0
d_000253,Android,Firefox,0
d_000254,Linux,Edge,0
d_000255,Windows,Edge,1
d_000256,Windows,Firefox,0
d_000257,Android,Firefox,0
d_000258,Android,Edge,0
d_000259,Android,Firefox,0
d_000260,Windows,Edge,0
d_000261,iOS,Chrome,0
d_000262,Windows,Safari,0
d_000263,Windows,Firefox,0
d_000264,Android,Safari,0
d_000265,Linux,Firefox,0
d_000266,Windows,Safari,0
d_000267,iOS,Chrome,1
d_000268,Android,Safari,0
d_000269,Linux,Edge,0
d_000270,iOS,Edge,1
d_000271,iOS,Firefox,0
d_000272,Windows,Chrome,0
d_000273,iOS,Edge,0
d_000274,Linux,Firefox,1
d_000275,iOS,Edge,1
d_000276,Linux,Firefox,1
d_000277,Linux,Chrome,0
d_000278,Linux,Edge,0
d_000279,Android,Chrome,0
d_000280,Linux,Firefox,0
d_000281,Windows,Firefox,0
d_000282,Windows,Edge,0
d_000283,iOS,Safari,1
d_000284,iOS,Firefox,0
d_000285,Android,Chrome,0
d_000286,Linux,Chrome,0
d_000287,Linux,Firefox,0
d_000288,Windows,Firefox,0
d_000289,Android,Chrome,0
d_000290,Android,Safari,0
d_000291,Android,Chrome,0
d_000292,Linux,Safari,0
d_000293,iOS,Firefox,0
d_000294,Linux,Chrome,0
d_000295,Windows,Edge,1
d_000296,Windows,Safari,0
d_000297,Windows,Chrome,0
d_000298,Linux,Firefox,1
d_000299,Windows,Firefox,0
d_000300,Linux,Chrome,0
d_000301,iOS,Edge,1
d_000302,Linux,Chrome,0
d_000303,Linux,Safari,0
d_000304,Linux,Firefox,0
d_000305,Android,Chrome,0
d_000306,Windows,Edge,0
d_000307,Linux,Safari,0
d_000308,Android,Edge,0
d_000309,iOS,Firefox,0
d_000310,Android,Edge,1
d_000311,Linux,Edge,1
d_000312,iOS,Chrome,0
d_000313,Linux,Chrome,1
d_000314,Windows,Firefox,0
d_000315,Android,Chrome,1
d_000316,Windows,Chrome,0
d_000317,Windows,Safari,1
d_000318,Android,Edge,0
d_000319,Windows,Edge,0
d_000320,Windows,Edge,0
d_000321,Linux,Safari,0
d_000322,Android,Safari,0
d_000323,iOS,Edge,0
d_000324,Android,Firefox,1
d_000325,Linux,Chrome,1
d_000326,Windows,Chrome,0
d_000327,Android,Edge,0
d_000328,iOS,Edge,0
d_000329,iOS,Chrome,0
d_000330,iOS,Edge,0
d_000331,Linux,Chrome,0
d_000332,iOS,Chrome,0
d_000333,Android,Firefox,0
d_000334,Linux,Safari,0
d_000335,Android,Chrome,0
d_000336,iOS,Chrome,1
d_000337,Linux,Firefox,0
d_000338,Windows,Chrome,1
d_000339,Windows,Safari,0
d_000340,iOS,Firefox,0
d_000341,Android,Firefox,0
d_000342,Linux,Safari,0
d_000343,iOS,Edge,0
d_000344,Android,Safari,0
d_000345,Linux,Safari,0
d_000346,Linux,Chrome,0
d_000347,Android,Safari,0
d_000348,Windows,Edge,0
d_000349,iOS,Safari,1
d_000350,Windows,Edge,0
d_000351,iOS,Safari,1
d_000352,iOS,Edge,0
d_000353,Windows,Firefox,0
d_000354,Android,Safari,1
d_000355,Android,Chrome,0
d_000356,iOS,Edge,0
d_000357,Windows,Chrome,0
d_000358,Android,Safari,0
d_000359,Linux,Safari,1
d_000360,Android,Chrome,0
d_000361,Windows,Safari,0
d_000362,Windows,Firefox,1
d_000363,Android,Chrome,1
d_000364,iOS,Safari,0
d_000365,Linux,Chrome,0
d_000366,iOS,Edge,0
d_000367,Linux,Safari,0
d_000368,iOS,Chrome,0
d_000369,iOS,Chrome,0
d_000370,Linux,Safari,0
d_000371,iOS,Chrome,1
d_000372,Linux,Chrome,1
d_000373,iOS,Safari,1
d_000374,iOS,Edge,1
d_000375,iOS,Edge,0
d_000376,Windows,Firefox,0
d_000377,Windows,Safari,0
d_000378,Android,Firefox,0
d_000379,Android,Edge,0
d_000380,Linux,Safari,1
d_000381,iOS,Firefox,0
d_000382,iOS,Safari,0
d_000383,Linux,Edge,0
d_000384,Linux,Edge,0
d_000385,Android,Edge,0
d_000386,iOS,Firefox,0
d_000387,iOS,Safari,1
d_000388,Linux,Chrome,0
d_000389,Linux,Chrome,0
d_000390,Linux,Edge,1
d_000391,Linux,Edge,0
d_000392,Android,Chrome,0
d_000393,iOS,Safari,1
d_000394,Windows,Safari,0
d_000395,Android,Edge,0
d_000396,iOS,Edge,0
d_000397,Linux,Edge,0
d_000398,Linux,Safari,0
d_000399,Linux,Chrome,0
d_000400,Linux,Firefox,0
d_000401,Windows,Edge,0
d_000402,iOS,Chrome,0
d_000403,Android,Firefox,0
d_000404,Android,Edge,0
d_000405,Linux,Chrome,0
d_000406,Windows,Safari,0
d_000407,iOS,Safari,0
d_000408,iOS,Chrome,0
d_000409,iOS,Safari,1
d_000410,Windows,Firefox,0
d_000411,Windows,Chrome,1
d_000412,Windows,Firefox,0
d_000413,Linux,Chrome,1
d_000414,Windows,Edge,1
d_000415,Android,Safari,0
d_000416,Android,Chrome,1
d_000417,iOS,Firefox,1
d_000418,Android,Safari,0
d_000419,Android,Safari,0
d_000420,iOS,Safari,1
d_000421,Windows,Edge,0
d_000422,Linux,Firefox,0
d_000423,Linux,Chrome,1
d_000424,iOS,Chrome,0
d_000425,iOS,Firefox,0
d_000426,Windows,Firefox,1
d_000427,Linux,Edge,1
d_000428,iOS,Firefox,0
d_000429,Windows,Safari,0
d_000430,Windows,Firefox,1
d_000431,iOS,Firefox,0
d_000432,Linux,Safari,0
d_000433,Windows,Safari,0
d_000434,iOS,Safari,0
d_000435,Android,Chrome,0
d_000436,iOS,Edge,0
d_000437,Windows,Safari,0
d_000438,Android,Firefox,0
d_000439,iOS,Firefox,0
d_000440,iOS,Firefox,1
d_000441,Android,Edge,0
d_000442,iOS,Edge,1
d_000443,iOS,Chrome,0
d_000444,Windows,Edge,0
d_000445,iOS,Edge,0
d_000446,Android,Edge,0
d_000447,iOS,Chrome,0
d_000448,Android,Edge,0
d_000449,Linux,Firefox,0
d_000450,Windows,Chrome,0
d_000451,iOS,Firefox,0
d_000452,Android,Chrome,0
d_000453,Android,Edge,1
d_000454,Linux,Firefox,0
d_000455,Windows,Edge,0
d_000456,Linux,Firefox,0
d_000457,Windows,Chrome,1
d_000458,Windows,Firefox,0
d_000459,Linux,Chrome,0
d_000460,Linux,Edge,0
d_000461,Windows,Safari,1
d_000462,Linux,Safari,1
d_000463,iOS,Safari,0
d_000464,Linux,Firefox,0
d_000465,Linux,Chrome,0
d_000466,Linux,Firefox,0
d_000467,iOS,Edge,1
d_000468,iOS,Safari,0
d_000469,Windows,Edge,1
d_000470,Windows,Firefox,0
d_000471,Linux,Safari,1
d_000472,Android,Safari,0
d_000473,Windows,Edge,0
d_000474,Windows,Edge,0
d_000475,Linux,Safari,0
d_000476,Android,Firefox,0
d_000477,Android,Firefox,1
d_000478,Linux,Firefox,1
d_000479,Android,Firefox,1
d_000480,Windows,Safari,0
d_000481,iOS,Firefox,0
d_000482,iOS,Firefox,1
d_000483,Android,Firefox,0
d_000484,Linux,Firefox,0
d_000485,Windows,Firefox,0
d_000486,iOS,Safari,0
d_000487,iOS,Firefox,0
d_000488,Windows,Firefox,0
d_000489,Android,Firefox,0
d_000490,Android,Safari,0
d_000491,Windows,Edge,0
d_000492,Windows,Safari,1
d_000493,iOS,Safari,0
d_000494,iOS,Chrome,0
d_000495,Linux,Chrome,1
d_000496,iOS,Chrome,0
d_000497,Windows,Firefox,1
d_000498,iOS,Edge,0
d_000499,iOS,Firefox,0
d_000500,Android,Safari,0
d_000501,iOS,Safari,0
d_000502,iOS,Safari,0
d_000503,Android,Edge,0
d_000504,Android,Chrome,0
d_000505,Linux,Chrome,1
d_000506,Android,Chrome,0
d_000507,Linux,Chrome,0
d_000508,Android,Chrome,0
d_000509,Android,Chrome,0
d_000510,iOS,Safari,0
d_000511,Windows,Chrome,0
d_000512,iOS,Firefox,0
d_000513,Windows,Safari,0
d_000514,Android,Chrome,0
d_000515,iOS,Safari,0
d_000516,iOS,Chrome,0
d_000517,iOS,Edge,0
d_000518,iOS,Edge,0
d_000519,iOS,Firefox,0
d_000520,Linux,Safari,1
d_000521,Linux,Chrome,0
d_000522,Android,Edge,0
d_000523,iOS,Edge,0
d_000524,Windows,Chrome,0
d_000525,Windows,Edge,0
d_000526,Linux,Firefox,0
d_000527,Windows,Edge,1
d_000528,Linux,Firefox,0
d_000529,iOS,Chrome,1
d_000530,Windows,Safari,1
d_000531,Linux,Chrome,0
d_000532,Linux,Chrome,1
d_000533,iOS,Edge,0
d_000534,Android,Safari,1
d_000535,Windows,Safari,0
d_000536,iOS,Edge,0
d_000537,iOS,Edge,0
d_000538,Windows,Firefox,1
d_000539,Windows,Edge,1
d_000540,Linux,Firefox,1
d_000541,Linux,Chrome,0
d_000542,Windows,Edge,0
d_000543,iOS,Safari,1
d_000544,Android,Chrome,0
d_000545,Linux,Chrome,0
d_000546,Linux,Firefox,0
d_000547,Windows,Chrome,0
d_000548,Linux,Edge,0
d_000549,Windows,Edge,0
d_000550,Windows,Firefox,1
d_000551,Android,Edge,0
d_000552,Linux,Edge,0
d_000553,Linux,Edge,0
d_000554,Android,Chrome,1
d_000555,Windows,Safari,0
d_000556,Linux,Safari,1
d_000557,Linux,Edge,0
d_000558,Linux,Edge,0
d_000559,iOS,Chrome,1
d_000560,Windows,Edge,1
d_000561,Windows,Firefox,1
d_000562,Android,Chrome,0
d_000563,iOS,Firefox,0
d_000564,Android,Firefox,0
d_000565,Android,Edge,1
d_000566,Windows,Edge,0
d_000567,Android,Safari,0
d_000568,iOS,Firefox,0
d_000569,Android,Firefox,0
d_000570,Windows,Safari,0
d_000571,Windows,Chrome,0
d_000572,Linux,Edge,1
d_000573,Android,Edge,0
d_000574,Windows,Edge,0
d_000575,Windows,Chrome,1
d_000576,Android,Safari,1
d_000577,Linux,Firefox,0
d_000578,Windows,Firefox,0
d_000579,iOS,Edge,1
d_000580,iOS,Firefox,0
d_000581,Android,Firefox,0
d_000582,iOS,Chrome,1
d_000583,Windows,Firefox,0
d_000584,Linux,Edge,0
d_000585,Windows,Chrome,0
d_000586,Windows,Edge,0
d_000587,iOS,Edge,0
d_000588,Windows,Edge,1
d_000589,Android,Safari,0
d_000590,iOS,Edge,1
d_000591,Linux,Chrome,0
d_000592,Windows,Edge,0
d_000593,iOS,Safari,0
d_000594,Linux,Edge,0
d_000595,Android,Safari,0
d_000596,Windows,Firefox,1
d_000597,Windows,Safari,0
d_000598,iOS,Chrome,1
d_000599,iOS,Chrome,0
d_000600,Windows,Edge,0
d_000601,Linux,Edge,1
d_000602,iOS,Safari,0
d_000603,iOS,Chrome,0
d_000604,Windows,Safari,0
d_000605,Linux,Chrome,0
d_000606,Android,Firefox,0
d_000607,Android,Edge,0
d_000608,Android,Edge,0
d_000609,iOS,Chrome,0
d_000610,Windows,Edge,0
d_000611,iOS,Chrome,0
d_000612,Windows,Edge,0
d_000613,Linux,Safari,0
d_000614,Android,Safari,0
d_000615,Windows,Edge,0
d_000616,Windows,Chrome,1
d_000617,Windows,Chrome,1
d_000618,Linux,Edge,0
d_000619,Windows,Safari,0
d_000620,Linux,Firefox,0
d_000621,Android,Chrome,0
d_000622,iOS,Firefox,0
d_000623,Windows,Firefox,1
d_000624,iOS,Edge,0
d_000625,Android,Edge,1
d_000626,Windows,Chrome,0
d_000627,Windows,Safari,0
d_000628,Linux,Firefox,0
d_000629,Android,Firefox,1
d_000630,Linux,Edge,0
d_000631,Windows,Edge,1
d_000632,iOS,Firefox,0
d_000633,Windows,Edge,0
d_000634,Linux,Chrome,0
d_000635,iOS,Edge,0
d_000636,Android,Edge,0
d_000637,Windows,Firefox,0
d_000638,Android,Safari,0
d_000639,iOS,Edge,0
d_000640,Linux,Edge,0
d_000641,Windows,Safari,0
d_000642,Windows,Safari,0
d_000643,Linux,Firefox,0
d_000644,Linux,Edge,0
d_000645,Android,Chrome,0
d_000646,Android,Edge,0
d_000647,Windows,Safari,0
d_000648,Linux,Edge,0
d_000649,iOS,Chrome,0
d_000650,iOS,Chrome,0
d_000651,Linux,Edge,0
d_000652,Android,Safari,1
d_000653,iOS,Firefox,0
d_000654,Linux,Edge,0
d_000655,Linux,Safari,0
d_000656,Windows,Safari,0
d_000657,iOS,Edge,1
d_000658,Android,Firefox,0
d_000659,iOS,Edge,0
d_000660,Windows,Edge,0
d_000661,Android,Edge,0
d_000662,Windows,Edge,0
d_000663,Linux,Edge,0
d_000664,Android,Chrome,0
d_000665,Android,Firefox,0
d_000666,Linux,Firefox,0
d_000667,Android,Firefox,0
d_000668,Windows,Edge,1
d_000669,iOS,Chrome,0
d_000670,Windows,Safari,0
d_000671,Windows,Edge,1
d_000672,Android,Firefox,0
d_000673,iOS,Firefox,1
d_000674,Windows,Chrome,0
d_000675,Linux,Firefox,0
d_000676,Linux,Firefox,0
d_000677,Windows,Firefox,0
d_000678,iOS,Firefox,1
d_000679,iOS,Edge,1
d_000680,iOS,Safari,0
d_000681,iOS,Safari,0
d_000682,Linux,Firefox,0
d_000683,Linux,Edge,0
d_000684,Linux,Chrome,0
d_000685,Windows,Edge,1
d_000686,Linux,Chrome,1
d_000687,Android,Firefox,0
d_000688,iOS,Firefox,0
d_000689,iOS,Firefox,0
d_000690,Android,Safari,0
d_000691,Android,Safari,1
d_000692,Android,Firefox,1
d_000693,Windows,Chrome,0
d_000694,Windows,Chrome,1
d_000695,iOS,Chrome,0
d_000696,Linux,Edge,0
d_000697,Windows,Chrome,1
d_000698,Android,Edge,0
d_000699,iOS,Safari,0
d_000700,Windows,Firefox,0
d_000701,Android,Edge,0
d_000702,Linux,Firefox,0
d_000703,iOS,Edge,0
d_000704,Android,Safari,0
d_000705,Linux,Edge,0
d_000706,iOS,Chrome,0
d_000707,Linux,Edge,0
d_000708,iOS,Firefox,0
d_000709,Windows,Safari,0
d_000710,Linux,Edge,1
d_000711,Windows,Edge,1
d_000712,Linux,Firefox,0
d_000713,Linux,Edge,0
d_000714,Android,Firefox,0
d_000715,iOS,Safari,1
d_000716,Android,Firefox,1
d_000717,Linux,Chrome,1
d_000718,Windows,Safari,1
d_000719,Windows,Safari,0
d_000720,Windows,Chrome,1
d_000721,Android,Chrome,0
d_000722,Linux,Chrome,1
d_000723,Windows,Firefox,1
d_000724,Android,Chrome,0
d_000725,Linux,Safari,0
d_000726,Linux,Chrome,0
d_000727,Linux,Firefox,0
d_000728,Linux,Edge,0
d_000729,Windows,Safari,0
d_000730,iOS,Chrome,0
d_000731,Android,Edge,0
d_000732,Android,Edge,0
d_000733,Android,Safari,0
d_000734,Linux,Edge,1
d_000735,Windows,Firefox,1
d_000736,Windows,Chrome,1
d_000737,iOS,Chrome,0
d_000738,Android,Chrome,0
d_000739,Android,Safari,0
d_000740,iOS,Safari,1
d_000741,iOS,Chrome,1
d_000742,Linux,Safari,0
d_000743,Linux,Chrome,1
d_000744,iOS,Safari,0
d_000745,Linux,Edge,1
d_000746,Linux,Safari,0
d_000747,Windows,Edge,0
d_000748,Windows,Chrome,0
d_000749,Linux,Edge,0
d_000750,Windows,Chrome,1
d_000751,Linux,Edge,1
d_000752,iOS,Chrome,1
d_000753,Linux,Firefox,0
d_000754,Windows,Edge,0
d_000755,Android,Edge,1
d_000756,Linux,Edge,0
d_000757,iOS,Firefox,0
d_000758,Linux,Firefox,0
d_000759,iOS,Safari,1
d_000760,Linux,Safari,0
d_000761,Linux,Edge,0
d_000762,Linux,Safari,0
d_000763,Windows,Chrome,0
d_000764,iOS,Safari,1
d_000765,iOS,Edge,0
d_000766,Linux,Edge,0
d_000767,iOS,Safari,0
d_000768,Android,Firefox,0
d_000769,Windows,Safari,0
d_000770,Android,Chrome,0
d_000771,Linux,Chrome,0
d_000772,Android,Safari,0
d_000773,Windows,Firefox,1
d_000774,Android,Firefox,0
d_000775,Android,Chrome,0
d_000776,Linux,Chrome,1
d_000777,Android,Chrome,0
d_000778,iOS,Chrome,0
d_000779,Windows,Safari,0
d_000780,Linux,Edge,0
d_000781,iOS,Firefox,0
d_000782,iOS,Chrome,0
d_000783,Linux,Edge,0
d_000784,iOS,Edge,0
d_000785,Windows,Safari,0
d_000786,Windows,Firefox,0
d_000787,Windows,Safari,1
d_000788,Linux,Safari,0
d_000789,Linux,Edge,0
d_000790,Linux,Firefox,1
d_000791,Linux,Safari,0
d_000792,Android,Chrome,0
d_000793,Windows,Edge,0
d_000794,Linux,Chrome,0
d_000795,Android,Safari,1
d_000796,Windows,Edge,0
d_000797,Windows,Firefox,1
d_000798,Android,Firefox,0
d_000799,Linux,Edge,0
d_000800,Linux,Firefox,0
d_000801,iOS,Firefox,1
d_000802,Android,Firefox,0
d_000803,iOS,Firefox,1
d_000804,Android,Firefox,0
d_000805,iOS,Chrome,0
d_000806,Windows,Safari,0
d_000807,Linux,Chrome,0
d_000808,Windows,Firefox,0
d_000809,Android,Chrome,0
d_000810,Linux,Firefox,0
d_000811,Linux,Firefox,0
d_000812,iOS,Firefox,0
d_000813,Windows,Safari,0
d_000814,iOS,Chrome,1
d_000815,iOS,Firefox,0
d_000816,Android,Safari,1
d_000817,Linux,Chrome,1
d_000818,Android,Edge,0
d_000819,Linux,Safari,0
d_000820,Android,Firefox,1
d_000821,Linux,Firefox,1
d_000822,Linux,Edge,1
d_000823,Linux,Safari,1
d_000824,iOS,Edge,0
d_000825,iOS,Chrome,1
d_000826,Linux,Edge,0
d_000827,iOS,Firefox,0
d_000828,Linux,Chrome,0
d_000829,Windows,Firefox,0
d_000830,iOS,Chrome,0
d_000831,Windows,Firefox,0
d_000832,Windows,Edge,0
d_000833,iOS,Safari,0
d_000834,Android,Firefox,1
d_000835,iOS,Safari,0
d_000836,Android,Chrome,1
d_000837,Android,Chrome,0
d_000838,Linux,Firefox,1
d_000839,Windows,Edge,1
d_000840,iOS,Safari,1
d_000841,Linux,Edge,1
d_000842,Windows,Chrome,0
d_000843,Linux,Safari,1
d_000844,Windows,Chrome,1
d_000845,Windows,Chrome,1
d_000846,Android,Firefox,0
d_000847,Android,Safari,0
d_000848,iOS,Edge,0
d_000849,Android,Safari,0
d_000850,Windows,Safari,0
d_000851,Linux,Chrome,0
d_000852,Linux,Chrome,0
d_000853,Android,Firefox,1
d_000854,iOS,Edge,1
d_000855,Windows,Edge,0
d_000856,Android,Chrome,0
d_000857,iOS,Firefox,0
d_000858,iOS,Firefox,0
d_000859,iOS,Firefox,0
d_000860,iOS,Chrome,1
d_000861,iOS,Chrome,0
d_000862,Windows,Edge,0
d_000863,Windows,Safari,0
d_000864,Windows,Firefox,1
d_000865,Android,Chrome,1
d_000866,iOS,Safari,0
d_000867,Linux,Chrome,1
d_000868,Android,Firefox,0
d_000869,Linux,Chrome,1
d_000870,Android,Edge,1
d_000871,Android,Firefox,0
d_000872,iOS,Safari,0
d_000873,Linux,Edge,0
d_000874,iOS,Safari,0
d_000875,iOS,Safari,0
d_000876,Linux,Chrome,1
d_000877,Linux,Firefox,0
d_000878,Android,Chrome,0
d_000879,Windows,Firefox,1
d_000880,Windows,Safari,1
d_000881,Android,Safari,0
d_000882,Windows,Chrome,0
d_000883,Android,Safari,1
d_000884,Linux,Safari,0
d_000885,Windows,Firefox,0
d_000886,Windows,Safari,1
d_000887,Windows,Safari,0
d_000888,Windows,Chrome,1
d_000889,Android,Edge,0
d_000890,Android,Safari,0
d_000891,Linux,Edge,1
d_000892,Android,Chrome,0
d_000893,Android,Firefox,1
d_000894,Windows,Edge,1
d_000895,Android,Chrome,0
d_000896,Windows,Safari,1
d_000897,Android,Safari,1
d_000898,Windows,Firefox,0
d_000899,Android,Firefox,0
d_000900,iOS,Edge,0
d_000901,Android,Firefox,0
d_000902,iOS,Chrome,1
d_000903,Linux,Chrome,0
d_000904,Linux,Safari,0
d_000905,iOS,Chrome,0
d_000906,Android,Safari,0
d_000907,iOS,Firefox,0
d_000908,Android,Firefox,0
d_000909,Android,Edge,1
d_000910,Windows,Edge,0
d_000911,Windows,Chrome,1
d_000912,Linux,Firefox,1
d_000913,iOS,Chrome,0
d_000914,Linux,Edge,0
