merchant_id,merchant_name,mcc,country,risk_tier
m_00087,"Ross, Johnson and Hicks",5311,US,MEDIUM
m_00088,Edwards-Bowman,5311,SG,LOW
m_00089,Snyder-Romero,5411,SG,LOW
m_00090,"King, Simmons and Brown",5411,US,LOW
m_00091,Meyer-Williams,5311,DE,LOW
m_00092,Reid PLC,5812,DE,MEDIUM
m_00093,"Cardenas, Garcia and Nguyen",5812,DE,LOW
m_00094,Castillo-Kirby,5311,GB,LOW
m_00095,Willis Ltd,5732,DE,MEDIUM
m_00096,Daniels-Mcdaniel,5541,DE,HIGH
m_00097,Scott-Weaver,5812,GB,LOW
m_00098,Wilson and Sons,5411,SG,LOW
m_00099,Edwards and Sons,5541,IN,HIGH
m_00100,Hale-Mills,5732,IN,HIGH
m_00101,"Hughes, Nichols and Ward",5541,DE,LOW
m_00102,"Frost, Barnes and Hill",5541,US,HIGH
m_00103,Lucas-Francis,5541,IN,LOW
m_00104,Hernandez-Lee,5411,SG,LOW
m_00105,Brooks PLC,5812,DE,LOW
m_00106,Cunningham Inc,5541,US,LOW
m_00107,Neal Group,5541,IN,HIGH
m_00108,"Williams, Jones and Harper",5411,DE,HIGH
m_00109,"Harmon, Moss and Lynch",5541,SG,HIGH
m_00110,Henson Group,5732,GB,HIGH
m_00111,Davis PLC,5732,US,LOW
m_00112,"Rich, Wilson and Montgomery",5311,US,MEDIUM
m_00113,Boyd-Smith,5732,DE,HIGH
m_00114,"Henry, Copeland and Brown",5411,IN,MEDIUM
m_00115,Brown PLC,5541,SG,MEDIUM
m_00116,"Leonard, Duke and Mccarthy",5411,SG,LOW
m_00117,Brewer-Butler,5541,GB,LOW
m_00118,Conley-Noble,5732,IN,LOW
m_00119,"Mclean, Mccarthy and Flores",5732,GB,LOW
m_00120,Richards-Walter,5311,SG,LOW
m_00121,Hughes-Gonzalez,5732,SG,HIGH
m_00122,Barajas-Rice,5541,IN,HIGH
m_00123,"Collins, Gordon and George",5541,GB,HIGH
m_00124,"Thomas, Harding and Mckenzie",5411,US,HIGH
m_00125,"Copeland, Hall and Harvey",5411,IN,MEDIUM
m_00126,Bowers-Braun,5541,US,HIGH
m_00127,"Riddle, Flores and Brown",5732,SG,MEDIUM
m_00128,"Howard, King and Mack",5732,US,LOW
m_00129,"Johnson, Stewart and Williams",5732,SG,HIGH
m_00130,Miller and Sons,5732,IN,MEDIUM
m_00131,Anderson PLC,5311,GB,LOW
m_00132,"Miller, Rose and Johnson",5411,GB,LOW
m_00133,Stephens-Lewis,5732,US,LOW
m_00134,"Cervantes, Cuevas and Harrell",5311,SG,HIGH
m_00135,Johnson-Williamson,5311,SG,HIGH
m_00136,Soto-Chapman,5411,IN,LOW
m_00137,"Burgess, Hill and Miller",5812,SG,HIGH
m_00138,"Adams, Arnold and Crawford",5732,SG,LOW
m_00139,Hernandez-Smith,5812,DE,HIGH
m_00140,Hayden-Foster,5411,GB,LOW
m_00141,Vaughn and Sons,5411,GB,MEDIUM
m_00142,Short-Johnson,5812,IN,LOW
m_00143,Logan-Price,5541,DE,MEDIUM
m_00144,Flores-Moyer,5812,US,HIGH
m_00145,"Torres, Gardner and Case",5812,DE,LOW
m_00146,Simmons PLC,5812,GB,LOW
m_00147,Johnson LLC,5812,GB,MEDIUM
m_00148,Washington-Berger,5411,DE,LOW
m_00149,Castillo LLC,5311,US,LOW
m_00150,Bullock-Brewer,5311,GB,LOW
m_00151,Blake-Brown,5812,US,MEDIUM
m_00152,Payne and Sons,5812,DE,LOW
m_00153,"Clay, Martin and Harrison",5732,IN,MEDIUM
m_00154,"Potter, Herman and Garcia",5732,SG,MEDIUM
m_00155,Griffin-Knox,5541,GB,MEDIUM
m_00156,James Group,5411,GB,LOW
m_00157,Grimes Ltd,5541,GB,LOW
m_00158,Barr-Bailey,5411,SG,LOW
m_00159,Pena-Anthony,5732,GB,MEDIUM
m_00160,"Mclaughlin, Harris and Gill",5541,SG,MEDIUM
m_00161,Davis Group,5311,SG,LOW
m_00162,Garrett-Alvarez,5732,IN,LOW
m_00163,Gonzalez and Sons,5311,IN,HIGH
m_00164,Guerra PLC,5541,US,HIGH
m_00165,"Drake, Hernandez and Lopez",5311,IN,MEDIUM
m_00166,"Cruz, Poole and Harris",5732,SG,HIGH
m_00167,Hernandez Inc,5411,GB,MEDIUM
m_00168,Reyes PLC,5732,DE,HIGH
m_00169,"Moran, Wright and Moore",5311,GB,MEDIUM
m_00170,Schmidt-White,5812,US,HIGH
m_00171,"Hamilton, Caldwell and Dean",5311,US,MEDIUM
m_00172,Livingston-Jensen,5541,GB,HIGH
m_00173,Forbes-Rose,5541,IN,MEDIUM
m_00174,Richards Group,5732,US,MEDIUM
m_00175,"Jacobs, Foley and Wilson",5541,SG,MEDIUM
m_00176,Clark Ltd,5732,DE,HIGH
m_00177,Smith PLC,5311,US,MEDIUM
m_00178,Bass-Kim,5311,US,HIGH
m_00179,"Andrews, Rice and Robinson",5411,GB,HIGH
m_00180,"Kelley, Clayton and Roberts",5541,GB,HIGH
m_00181,Mendez-Hicks,5812,GB,LOW
m_00182,Wolf-Clark,5812,US,LOW
m_00183,Gonzales Group,5411,US,LOW
m_00184,Peterson-Porter,5541,IN,MEDIUM
m_00185,Mcdowell-Wise,5311,SG,MEDIUM
m_00186,Bowers-Peters,5311,DE,LOW
m_00187,Thomas LLC,5812,US,MEDIUM
m_00188,Hernandez-Kemp,5411,IN,HIGH
m_00189,Davis LLC,5812,US,MEDIUM
m_00190,Perez Group,5541,DE,HIGH
m_00191,"Rodriguez, Harris and Garrett",5541,US,LOW
m_00192,Lopez Inc,5311,US,LOW
m_00193,Harris-Hunt,5541,SG,MEDIUM
m_00194,Johnson-Powell,5732,DE,HIGH
m_00195,Underwood-Singleton,5541,DE,HIGH
m_00196,"Thomas, Chavez and Pena",5311,US,HIGH
m_00197,"Yates, Bradshaw and King",5311,DE,HIGH
m_00198,Gay-Burton,5812,GB,MEDIUM
m_00199,Brooks LLC,5311,US,HIGH
m_00200,"Good, Contreras and Prince",5311,IN,MEDIUM
m_00201,"Mejia, Schaefer and Thornton",5732,US,HIGH
m_00202,"Miller, Gonzalez and Madden",5732,GB,MEDIUM
m_00203,Davis PLC,5411,US,HIGH
m_00204,"Rose, Perez and Norton",5812,DE,LOW
m_00205,"Ware, Smith and Moore",5812,US,HIGH
m_00206,"Jones, Harris and Mcdonald",5311,DE,LOW
m_00207,Perez Group,5541,DE,MEDIUM
m_00208,Perez Inc,5411,US,MEDIUM
m_00209,Wilson Group,5311,SG,MEDIUM
m_00210,Smith Group,5411,SG,HIGH
m_00211,"Cook, Reese and Smith",5311,IN,MEDIUM
m_00212,Bell-Gilmore,5732,DE,MEDIUM
m_00213,"Chavez, Schmidt and Sanchez",5541,SG,MEDIUM
m_00214,"Knox, Murphy and Carrillo",5812,DE,HIGH
m_00215,Stone Group,5732,DE,LOW
m_00216,Day-Escobar,5411,DE,MEDIUM
m_00217,Anderson Inc,5311,US,MEDIUM
m_00218,Sloan LLC,5812,SG,MEDIUM
m_00219,"Sparks, Hughes and Henderson",5411,DE,HIGH
m_00220,"Hood, Alexander and Ware",5541,IN,HIGH
m_00221,Ballard-Khan,5311,US,LOW
m_00222,Warren-Palmer,5812,IN,MEDIUM
m_00223,Swanson-Velez,5311,GB,MEDIUM
m_00224,Soto-Austin,5311,GB,LOW
m_00225,Goodwin Inc,5311,GB,MEDIUM
m_00226,"Luna, Reed and Bell",5732,IN,MEDIUM
m_00227,Walker PLC,5411,SG,MEDIUM
m_00228,Hernandez Ltd,5732,US,LOW
m_00229,"Myers, Collins and White",5411,IN,HIGH
m_00230,Smith-Miller,5812,US,LOW
m_00231,Peterson Ltd,5541,US,LOW
m_00232,Hernandez-Castillo,5812,DE,LOW
m_00233,"Phillips, Stafford and Cox",5411,SG,HIGH
m_00234,"Mccoy, Harris and Gonzalez",5311,GB,LOW
m_00235,Deleon Inc,5812,SG,MEDIUM
m_00236,Payne-Brown,5411,US,HIGH
m_00237,"Summers, Clark and Curtis",5411,SG,MEDIUM
m_00238,Hernandez-Chavez,5732,SG,LOW
m_00239,"Martin, Davis and Adams",5311,DE,HIGH
m_00240,"Hutchinson, Cook and Barnes",5812,IN,HIGH
m_00241,Stevenson-Clark,5812,IN,HIGH
m_00242,Perkins Inc,5732,SG,HIGH
m_00243,Moreno-Coleman,5541,IN,LOW
m_00244,Garcia-Fitzgerald,5541,DE,MEDIUM
m_00245,"Nelson, Rose and Wilson",5732,IN,HIGH
m_00246,"Mitchell, Hubbard and Murray",5732,IN,HIGH
m_00247,"Singh, Sullivan and Lopez",5311,IN,MEDIUM
m_00248,Williams-Sullivan,5732,DE,MEDIUM
m_00249,"White, Burch and Wu",5812,DE,HIGH
m_00250,Sanchez-Webb,5541,GB,LOW
m_00251,Fowler PLC,5541,DE,HIGH
m_00252,Morris Group,5311,SG,MEDIUM
m_00253,"Kim, Martinez and Bass",5732,US,MEDIUM
m_00254,Johnston-Lee,5732,DE,LOW
m_00255,Kaufman-Berg,5311,SG,LOW
m_00256,"Duncan, Walters and Mcneil",5311,GB,HIGH
m_00257,Smith and Sons,5311,GB,LOW
m_00258,Robinson LLC,5311,US,LOW
m_00259,Johnson Inc,5732,GB,MEDIUM
m_00260,Brown Ltd,5541,GB,MEDIUM
m_00261,"Austin, Parker and Smith",5411,SG,HIGH
m_00262,Richardson-Harris,5411,US,LOW
m_00263,Cobb Inc,5311,DE,HIGH
m_00264,"Ward, Glass and Rogers",5812,DE,HIGH
m_00265,"Galvan, Holland and Richard",5311,DE,HIGH
m_00266,Schwartz Ltd,5411,GB,LOW
m_00267,Preston-Griffin,5311,US,LOW
m_00268,King-Rodriguez,5541,GB,MEDIUM
m_00269,Brown-Wall,5541,SG,MEDIUM
m_00270,Evans Inc,5311,SG,MEDIUM
m_00271,Rivera-Fitzpatrick,5732,DE,MEDIUM
m_00272,Walker and Sons,5732,GB,MEDIUM
m_00273,"Bryant, Park and Lee",5411,US,LOW
m_00274,"Dunn, Roberts and Harris",5411,SG,MEDIUM
m_00275,Johnson and Sons,5812,US,HIGH
m_00276,Schneider PLC,5311,GB,LOW
m_00277,"Robinson, Mayo and Jones",5541,SG,HIGH
m_00278,Mclaughlin-Galvan,5732,IN,HIGH
m_00279,"Rivas, Moore and Sanford",5732,US,LOW
m_00280,Watson-Buchanan,5812,GB,MEDIUM
m_00281,"Ross, Carter and Rasmussen",5541,US,LOW
m_00282,Gibson LLC,5411,IN,MEDIUM
m_00283,Carr-Mccullough,5732,US,HIGH
m_00284,Jones-Davis,5311,IN,HIGH
m_00285,Morgan and Sons,5541,GB,LOW
m_00286,Huff Ltd,5311,DE,MEDIUM
m_00287,Hart-Anderson,5812,IN,MEDIUM
m_00288,Rodriguez-Harris,5311,IN,MEDIUM
m_00289,"Levy, Chapman and Johnson",5311,DE,LOW
m_00290,Charles-Robinson,5541,IN,LOW
m_00291,Howard-Sosa,5812,SG,LOW
m_00292,Henry-Black,5411,US,MEDIUM
m_00293,"Griffin, Hawkins and Griffin",5541,DE,LOW
m_00294,Grant Inc,5541,SG,HIGH
m_00295,Howard Group,5541,DE,LOW
m_00296,Banks Ltd,5311,GB,MEDIUM
m_00297,Rivera-Hanna,5311,GB,HIGH
m_00298,"Richards, Coleman and Valencia",5541,IN,HIGH
m_00299,Bates-Stevenson,5411,US,HIGH
m_00300,Carroll-Ramirez,5812,GB,HIGH
m_00301,Perez-King,5411,US,HIGH
m_00302,Arnold-Valdez,5812,SG,LOW
m_00303,Anderson-Park,5812,IN,LOW
m_00304,Clark PLC,5311,SG,MEDIUM
m_00305,"Walsh, Rivera and Martin",5732,IN,MEDIUM
m_00306,"Hamilton, Carrillo and Reyes",5732,GB,LOW
m_00307,Oneill Inc,5311,IN,HIGH
m_00308,"Hunt, Montoya and Smith",5812,GB,HIGH
m_00309,"Ward, Carrillo and Wolfe",5541,US,HIGH
m_00310,"Webster, Avila and Butler",5411,SG,MEDIUM
m_00311,Shannon-Jensen,5812,GB,LOW
m_00312,"Padilla, Lewis and Irwin",5411,IN,LOW
m_00313,Sanders-Kerr,5732,SG,LOW
m_00314,Nguyen-Roberts,5541,GB,HIGH
m_00315,Petersen-Cunningham,5411,DE,MEDIUM
m_00316,Hensley and Sons,5732,DE,HIGH
m_00317,Haynes PLC,5541,SG,MEDIUM
m_00318,Bishop LLC,5311,IN,MEDIUM
m_00319,Taylor-Decker,5411,DE,HIGH
m_00320,Jones Inc,5732,SG,HIGH
m_00321,Hanson-Peterson,5411,IN,MEDIUM
m_00322,Newman Inc,5541,SG,LOW
m_00323,Tran-Maxwell,5732,SG,LOW
m_00324,Silva-Daniels,5812,DE,LOW
m_00325,"Mccarty, Mckinney and Hughes",5311,GB,HIGH
m_00326,Sharp-Garrett,5541,DE,LOW
m_00327,Reynolds-Thompson,5311,IN,HIGH
m_00328,Boyd-Baird,5732,DE,MEDIUM
m_00329,Alexander Group,5732,IN,MEDIUM
m_00330,Dickson Group,5732,DE,LOW
m_00331,"Zuniga, Flores and Stewart",5311,GB,HIGH
m_00332,Wyatt Group,5311,SG,HIGH
m_00333,"Monroe, Chang and Williams",5311,IN,LOW
m_00334,Boyle and Sons,5732,GB,MEDIUM
m_00335,Khan-Morrison,5311,SG,LOW
m_00336,"Thomas, Roberson and Brady",5541,DE,LOW
m_00337,Russell-Gutierrez,5411,US,MEDIUM
m_00338,Kaufman Group,5732,SG,HIGH
m_00339,Coleman Ltd,5311,IN,MEDIUM
m_00340,"Mason, Jordan and Young",5732,SG,LOW
m_00341,Randall-Larson,5732,DE,LOW
m_00342,"Campbell, Griffin and Ferrell",5311,IN,HIGH
m_00343,Reid Group,5541,US,LOW
m_00344,Marshall-Foley,5812,GB,HIGH
m_00345,Hanson-Rodriguez,5411,SG,HIGH
m_00346,"Parker, Frye and Mcdonald",5411,US,MEDIUM
m_00347,Dean-Herrera,5311,IN,LOW
m_00348,Lucero-Guerrero,5812,DE,HIGH
m_00349,"Clay, Wiley and Nielsen",5732,SG,HIGH
m_00350,"Roth, Phillips and Roberts",5732,DE,HIGH
m_00351,Smith-Gonzalez,5311,US,MEDIUM
m_00352,Nguyen-Hicks,5541,US,MEDIUM
m_00353,"Tran, Lane and Watson",5812,SG,MEDIUM
m_00354,"Pena, Serrano and Esparza",5812,IN,HIGH
m_00355,Hughes-Monroe,5311,GB,MEDIUM
m_00356,Gonzalez LLC,5732,IN,HIGH
m_00357,Collins-Boyer,5732,SG,MEDIUM
m_00358,"Johnson, Johnson and Fitzgerald",5311,US,HIGH
m_00359,"Cox, Hicks and Huffman",5541,DE,MEDIUM
m_00360,"Harrison, Roberts and Wells",5732,SG,MEDIUM
m_00361,"Hill, Calderon and Marshall",5311,DE,HIGH
m_00362,"Rubio, Martinez and Davis",5812,US,MEDIUM
m_00363,Schroeder-Humphrey,5311,US,HIGH
m_00364,"Soto, Dean and Blankenship",5411,GB,MEDIUM
m_00365,"Blackwell, Smith and Garza",5311,DE,HIGH
m_00366,Buchanan LLC,5812,DE,MEDIUM
m_00367,"Scott, Lee and Taylor",5812,SG,LOW
m_00368,"Watkins, Hutchinson and Ramos",5732,IN,HIGH
m_00369,Williams PLC,5411,SG,MEDIUM
m_00370,Mayo Ltd,5411,US,MEDIUM
m_00371,Harris Inc,5812,IN,MEDIUM
m_00372,Nelson-Peters,5732,GB,MEDIUM
m_00373,Davis Ltd,5311,IN,HIGH
m_00374,Sims-Hunter,5541,DE,MEDIUM
m_00375,Kelley LLC,5311,SG,MEDIUM
m_00376,"Ray, Thomas and Bailey",5541,IN,LOW
m_00377,"Francis, Nguyen and Jones",5732,US,LOW
m_00378,Miller LLC,5411,DE,HIGH
m_00379,"Powell, Thomas and Moyer",5411,DE,LOW
m_00380,Nelson-Griffith,5732,IN,LOW
m_00381,Clark-Bennett,5732,IN,LOW
m_00382,"Matthews, Carpenter and Miller",5732,GB,MEDIUM
m_00383,"Gonzales, Brown and Dixon",5812,US,MEDIUM
m_00384,Smith-Miller,5311,SG,HIGH
m_00385,"Alexander, Patterson and Wolfe",5812,US,HIGH
m_00386,Harris-Woods,5411,SG,LOW
m_00387,Porter-Brooks,5541,US,MEDIUM
m_00388,Dixon Ltd,5541,US,MEDIUM
m_00389,Love and Sons,5311,GB,LOW
m_00390,"Long, Mason and Hernandez",5732,IN,MEDIUM
m_00391,Reynolds-Snyder,5732,SG,MEDIUM
m_00392,Mcintosh-Howard,5411,DE,LOW
m_00393,"Conrad, Shepard and Chaney",5541,GB,MEDIUM
m_00394,Le-Reynolds,5311,GB,HIGH
m_00395,Wise LLC,5732,US,MEDIUM
m_00396,Stewart-Brown,5311,IN,MEDIUM
m_00397,Carter-Atkins,5311,SG,LOW
m_00398,Patton Inc,5541,GB,MEDIUM
m_00399,Foster-Lin,5732,IN,HIGH
m_00400,Baxter Inc,5311,GB,HIGH
m_00401,"Alexander, Boone and Bolton",5541,IN,LOW
m_00402,Daniel Group,5311,GB,HIGH
m_00403,Brewer-Mcclain,5541,GB,LOW
m_00404,Graham PLC,5812,SG,LOW
m_00405,"Conner, Reed and Hess",5812,IN,MEDIUM
m_00406,Bennett-Haney,5411,GB,HIGH
m_00407,Herrera-Norman,5411,SG,MEDIUM
m_00408,Johnson PLC,5812,IN,MEDIUM
m_00409,"Dyer, Alvarado and Lane",5732,DE,MEDIUM
m_00410,"Johnson, Lambert and Bailey",5812,US,LOW
m_00411,Keller Ltd,5732,SG,HIGH
m_00412,Johnson Ltd,5732,US,HIGH
m_00413,Koch-Hawkins,5311,GB,MEDIUM
m_00414,"Carroll, Montoya and George",5732,IN,HIGH
m_00415,Greer-Smith,5411,US,MEDIUM
m_00416,Ward-Wright,5311,SG,LOW
m_00417,Sweeney PLC,5411,DE,MEDIUM
m_00418,"Hoover, Moss and Cole",5732,SG,LOW
m_00419,Ayala-Andrews,5311,GB,LOW
m_00420,"Wade, Bowen and Garza",5732,SG,HIGH
m_00421,Willis-Smith,5732,IN,MEDIUM
m_00422,Espinoza-Beck,5812,DE,HIGH
m_00423,Lane and Sons,5541,SG,LOW
m_00424,"Roberts, Le and James",5541,US,MEDIUM
m_00425,Faulkner LLC,5411,DE,HIGH
m_00426,Hughes Inc,5732,DE,HIGH
m_00427,Lee-Vega,5812,IN,LOW
m_00428,"Cox, Odonnell and Marsh",5732,DE,LOW
m_00429,"Lewis, Holmes and Bird",5411,US,LOW
m_00430,Kelly and Sons,5812,DE,HIGH
m_00431,Francis Inc,5732,SG,MEDIUM
m_00432,Rodriguez-Haynes,5541,US,MEDIUM
m_00433,Barnett-Torres,5411,DE,MEDIUM
m_00434,Hernandez-Jensen,5311,GB,HIGH
m_00435,Berger Ltd,5732,US,LOW
m_00436,Smith LLC,5311,US,MEDIUM
m_00437,Robinson-Bartlett,5411,GB,MEDIUM
m_00438,"Goodman, Miller and Christensen",5732,IN,HIGH
m_00439,"Cook, Moody and Brock",5732,US,MEDIUM
m_00440,Brown-Clark,5311,IN,LOW
m_00441,"Howe, Lopez and Kelley",5812,SG,HIGH
m_00442,Diaz-Douglas,5411,GB,LOW
m_00443,"Hudson, Bell and Young",5812,SG,LOW
m_00444,Herman-Smith,5411,SG,LOW
m_00445,Zimmerman-Ford,5541,US,LOW
m_00446,Maxwell-Ward,5732,US,LOW
m_00447,"Torres, Douglas and Cohen",5411,GB,HIGH
m_00448,"Rodriguez, Moore and Fisher",5812,SG,LOW
m_00449,Sullivan-Cox,5812,IN,MEDIUM
m_00450,"Long, Morgan and Riddle",5411,US,HIGH
m_00451,"Anderson, Santiago and Jacobson",5732,US,LOW
m_00452,Lewis-Gordon,5732,IN,HIGH
m_00453,"Obrien, Welch and Hampton",5732,IN,LOW
m_00454,Ayala Inc,5311,SG,LOW
m_00455,"Jones, Gonzalez and Davis",5411,DE,LOW
m_00456,Guzman-Williams,5732,SG,MEDIUM
m_00457,Lopez Inc,5411,DE,HIGH
m_00458,Wilkerson-Clark,5812,SG,HIGH
m_00459,Yates Group,5541,GB,LOW
m_00460,Larson PLC,5411,IN,MEDIUM
m_00461,Hamilton-Smith,5311,DE,MEDIUM
m_00462,Owens Group,5411,DE,HIGH
m_00463,Trujillo-Taylor,5311,IN,HIGH
m_00464,Morris LLC,5732,SG,LOW
m_00465,Walters-Ramirez,5411,US,LOW
m_00466,"Lopez, Adams and Hammond",5541,SG,MEDIUM
m_00467,"White, Ramirez and Harris",5732,DE,HIGH
m_00468,Flores-Butler,5541,GB,HIGH
m_00469,Hamilton-Saunders,5541,SG,MEDIUM
m_00470,"Rangel, Wilson and Little",5411,IN,MEDIUM
m_00471,Thomas LLC,5541,US,HIGH
m_00472,Hayes-Garcia,5311,US,MEDIUM
m_00473,"Cochran, Travis and Fischer",5732,DE,MEDIUM
m_00474,Hardin-Ward,5311,IN,MEDIUM
m_00475,"Chan, Reynolds and Young",5311,GB,MEDIUM
m_00476,Simmons PLC,5732,GB,HIGH
m_00477,Kelley-Mendoza,5311,IN,LOW
m_00478,Campos Group,5411,IN,LOW
m_00479,Esparza-Campbell,5411,GB,MEDIUM
m_00480,Boyer-Johnson,5541,IN,LOW
m_00481,"Boyle, Acosta and Molina",5541,SG,HIGH
m_00482,"Tran, Davis and Barnett",5411,DE,MEDIUM
m_00483,Hester-Gonzalez,5311,IN,MEDIUM
m_00484,Martinez and Sons,5541,GB,MEDIUM
m_00485,Drake-Clark,5411,SG,MEDIUM
m_00486,"Garcia, Gordon and Mcfarland",5812,US,HIGH
m_00487,Mcclain Group,5311,US,HIGH
m_00488,Wise Inc,5732,SG,LOW
m_00489,Barnes Ltd,5411,GB,MEDIUM
m_00490,Howard Group,5812,DE,HIGH
m_00491,Parker LLC,5541,SG,HIGH
m_00492,Meyer-Ibarra,5541,IN,HIGH
m_00493,"Brown, Hutchinson and Martin",5732,IN,HIGH
m_00494,"Bush, Lynn and Shaw",5732,GB,LOW
m_00495,"Douglas, Thompson and Bradley",5732,IN,MEDIUM
m_00496,Dennis and Sons,5812,SG,LOW
m_00497,"Jones, Little and Phillips",5311,IN,HIGH
m_00498,Henderson-Strong,5411,IN,LOW
m_00499,Stanton-Hayes,5541,US,HIGH
m_00500,Flores Inc,5311,DE,MEDIUM
m_00501,Rodriguez-Brooks,5812,GB,MEDIUM
m_00502,Villegas Group,5732,SG,MEDIUM
m_00503,"Long, Larson and Kelley",5411,IN,HIGH
m_00504,Medina Inc,5812,SG,LOW
m_00505,Horton LLC,5411,GB,LOW
m_00506,Whitehead-Medina,5311,DE,MEDIUM
m_00507,"Nguyen, Peters and Rodriguez",5311,DE,HIGH
m_00508,"Ortiz, Hull and Williams",5812,SG,MEDIUM
m_00509,"Freeman, Smith and Wolf",5732,DE,LOW
m_00510,Miller Inc,5732,SG,LOW
m_00511,"Jones, Turner and Waters",5541,GB,MEDIUM
m_00512,"Smith, Martin and Cox",5812,DE,LOW
m_00513,Rodriguez-Levine,5411,IN,HIGH
m_00514,Roberson PLC,5732,US,LOW
m_00515,Evans-Hanson,5732,GB,LOW
m_00516,"Thomas, Perez and Morrison",5411,IN,MEDIUM
m_00517,Flores Ltd,5311,US,MEDIUM
m_00518,"Dalton, Vincent and Brady",5311,SG,LOW
