card_id,bin,issuer,card_type
c_000081,454010,CHASE,CREDIT
c_000082,458577,SBI,DEBIT
c_000083,431294,HDFC,CREDIT
c_000084,443638,CITI,CREDIT
c_000085,536992,HDFC,CREDIT
c_000086,436071,CHASE,DEBIT
c_000087,459427,CHASE,DEBIT
c_000088,508921,HDFC,CREDIT
c_000089,407206,CITI,DEBIT
c_000090,523202,ICICI,DEBIT
c_000091,453163,CITI,CREDIT
c_000092,465880,CHASE,CREDIT
c_000093,431618,CITI,DEBIT
c_000094,527183,SBI,DEBIT
c_000095,410569,CHASE,CREDIT
c_000096,546711,HDFC,DEBIT
c_000097,447726,SBI,DEBIT
c_000098,543927,SBI,CREDIT
c_000099,522033,CITI,DEBIT
c_000100,403861,ICICI,CREDIT
c_000101,476850,ICICI,DEBIT
c_000102,455911,CHASE,DEBIT
c_000103,442537,HDFC,CREDIT
c_000104,553375,HDFC,CREDIT
c_000105,557932,CHASE,CREDIT
c_000106,519509,SBI,CREDIT
c_000107,523773,HDFC,CREDIT
c_000108,515994,SBI,DEBIT
c_000109,514538,CITI,DEBIT
c_000110,464463,CITI,CREDIT
c_000111,437234,HDFC,CREDIT
c_000112,414396,HDFC,CREDIT
c_000113,478169,ICICI,CREDIT
c_000114,419057,HDFC,CREDIT
c_000115,402528,ICICI,DEBIT
c_000116,495414,HDFC,CREDIT
c_000117,441036,SBI,DEBIT
c_000118,429492,CITI,DEBIT
c_000119,551489,ICICI,CREDIT
c_000120,542037,SBI,DEBIT
c_000121,457774,HDFC,DEBIT
c_000122,479017,HDFC,CREDIT
c_000123,557466,HDFC,DEBIT
c_000124,482940,ICICI,DEBIT
c_000125,438629,HDFC,CREDIT
c_000126,418682,CHASE,CREDIT
c_000127,495611,CITI,CREDIT
c_000128,476231,CHASE,DEBIT
c_000129,460578,CITI,CREDIT
c_000130,460993,SBI,DEBIT
c_000131,424503,HDFC,CREDIT
c_000132,404476,HDFC,CREDIT
c_000133,530723,CHASE,CREDIT
c_000134,440755,CHASE,CREDIT
c_000135,432054,SBI,CREDIT
c_000136,464692,CITI,CREDIT
c_000137,484135,HDFC,DEBIT
c_000138,543132,HDFC,CREDIT
c_000139,529152,SBI,DEBIT
c_000140,435123,ICICI,CREDIT
c_000141,547531,CHASE,DEBIT
c_000142,489487,SBI,CREDIT
c_000143,440570,CHASE,DEBIT
c_000144,556908,CHASE,DEBIT
c_000145,459528,CHASE,DEBIT
c_000146,440241,SBI,CREDIT
c_000147,514067,SBI,CREDIT
c_000148,510847,CHASE,CREDIT
c_000149,437053,HDFC,CREDIT
c_000150,416949,CHASE,DEBIT
c_000151,407160,CHASE,DEBIT
c_000152,416029,CITI,CREDIT
c_000153,432113,SBI,CREDIT
c_000154,469094,CHASE,DEBIT
c_000155,526131,HDFC,DEBIT
c_000156,425612,CHASE,CREDIT
c_000157,480450,ICICI,DEBIT
c_000158,448683,CHASE,CREDIT
c_000159,419109,SBI,CREDIT
c_000160,520329,ICICI,CREDIT
c_000161,413057,ICICI,DEBIT
c_000162,487118,SBI,CREDIT
c_000163,538432,CHASE,DEBIT
c_000164,518192,ICICI,CREDIT
c_000165,411978,CHASE,CREDIT
c_000166,512357,SBI,DEBIT
c_000167,402696,CHASE,CREDIT
c_000168,454230,ICICI,CREDIT
c_000169,417720,ICICI,CREDIT
c_000170,454590,CITI,CREDIT
c_000171,524751,CHASE,DEBIT
c_000172,493882,CITI,DEBIT
c_000173,457118,CITI,CREDIT
c_000174,532107,CHASE,DEBIT
c_000175,506545,HDFC,CREDIT
c_000176,535531,CITI,CREDIT
c_000177,555011,ICICI,DEBIT
c_000178,415082,SBI,CREDIT
c_000179,461686,SBI,DEBIT
c_000180,490925,HDFC,DEBIT
c_000181,524325,ICICI,CREDIT
c_000182,421969,SBI,CREDIT
c_000183,512476,SBI,DEBIT
c_000184,482384,ICICI,CREDIT
c_000185,507870,CHASE,DEBIT
c_000186,524174,CITI,CREDIT
c_000187,531022,SBI,CREDIT
c_000188,466765,ICICI,CREDIT
c_000189,420178,CITI,DEBIT
c_000190,463239,CITI,CREDIT
c_000191,438577,ICICI,CREDIT
c_000192,455065,CHASE,DEBIT
c_000193,519391,ICICI,DEBIT
c_000194,415633,ICICI,DEBIT
c_000195,438594,CHASE,DEBIT
c_000196,427896,HDFC,CREDIT
c_000197,497253,CHASE,CREDIT
c_000198,559055,HDFC,CREDIT
c_000199,427946,CHASE,DEBIT
c_000200,414996,SBI,DEBIT
c_000201,542395,SBI,DEBIT
c_000202,475746,SBI,CREDIT
c_000203,551289,CITI,DEBIT
c_000204,408488,SBI,DEBIT
c_000205,427149,CHASE,DEBIT
c_000206,454350,CITI,DEBIT
c_000207,449068,HDFC,DEBIT
c_000208,508320,CITI,DEBIT
c_000209,425075,SBI,DEBIT
c_000210,504207,SBI,CREDIT
c_000211,420298,HDFC,CREDIT
c_000212,543226,HDFC,DEBIT
c_000213,518116,CHASE,DEBIT
c_000214,456632,HDFC,CREDIT
c_000215,450860,CHASE,DEBIT
c_000216,489766,HDFC,DEBIT
c_000217,476337,CITI,DEBIT
c_000218,454703,ICICI,CREDIT
c_000219,520281,ICICI,CREDIT
c_000220,473311,CHASE,DEBIT
c_000221,429656,CHASE,DEBIT
c_000222,547639,SBI,CREDIT
c_000223,513568,ICICI,DEBIT
c_000224,541539,ICICI,DEBIT
c_000225,504254,SBI,CREDIT
c_000226,415955,ICICI,CREDIT
c_000227,544190,SBI,DEBIT
c_000228,558236,ICICI,DEBIT
c_000229,433350,CHASE,DEBIT
c_000230,529304,ICICI,DEBIT
c_000231,441960,CITI,DEBIT
c_000232,501611,ICICI,CREDIT
c_000233,412519,SBI,CREDIT
c_000234,415597,ICICI,CREDIT
c_000235,510043,CHASE,CREDIT
c_000236,486803,ICICI,CREDIT
c_000237,443569,CITI,CREDIT
c_000238,493296,ICICI,CREDIT
c_000239,469409,CITI,CREDIT
c_000240,406132,CHASE,DEBIT
c_000241,532557,CITI,CREDIT
c_000242,478997,HDFC,CREDIT
c_000243,529803,SBI,CREDIT
c_000244,405688,ICICI,DEBIT
c_000245,543036,HDFC,DEBIT
c_000246,548123,ICICI,DEBIT
c_000247,443490,ICICI,DEBIT
c_000248,497361,SBI,DEBIT
c_000249,408539,SBI,CREDIT
c_000250,542138,CITI,DEBIT
c_000251,553296,ICICI,DEBIT
c_000252,441124,SBI,DEBIT
c_000253,464819,ICICI,DEBIT
c_000254,401719,ICICI,DEBIT
c_000255,493721,HDFC,DEBIT
c_000256,440360,SBI,CREDIT
c_000257,490191,HDFC,DEBIT
c_000258,459308,SBI,CREDIT
c_000259,486130,HDFC,DEBIT
c_000260,506121,CITI,CREDIT
c_000261,454565,CITI,DEBIT
c_000262,464383,ICICI,DEBIT
c_000263,477212,ICICI,CREDIT
c_000264,442784,CITI,CREDIT
c_000265,434671,HDFC,DEBIT
c_000266,490916,CITI,DEBIT
c_000267,432099,ICICI,CREDIT
c_000268,470837,HDFC,DEBIT
c_000269,551987,HDFC,CREDIT
c_000270,487383,CITI,CREDIT
c_000271,482065,CITI,DEBIT
c_000272,414795,HDFC,DEBIT
c_000273,463629,CHASE,CREDIT
c_000274,451927,HDFC,CREDIT
c_000275,520530,SBI,CREDIT
c_000276,472838,ICICI,DEBIT
c_000277,403902,CHASE,DEBIT
c_000278,556053,SBI,DEBIT
c_000279,548467,ICICI,CREDIT
c_000280,489626,CITI,DEBIT
c_000281,553605,ICICI,DEBIT
c_000282,503684,CHASE,DEBIT
c_000283,460051,HDFC,CREDIT
c_000284,497616,ICICI,CREDIT
c_000285,433582,CHASE,CREDIT
c_000286,524112,SBI,DEBIT
c_000287,533351,CHASE,CREDIT
c_000288,500426,HDFC,DEBIT
c_000289,406659,CITI,CREDIT
c_000290,431579,CHASE,DEBIT
c_000291,406933,HDFC,DEBIT
c_000292,539734,SBI,CREDIT
c_000293,436026,SBI,DEBIT
c_000294,450083,ICICI,DEBIT
c_000295,416461,SBI,DEBIT
c_000296,486996,SBI,DEBIT
c_000297,483308,HDFC,CREDIT
c_000298,455019,ICICI,DEBIT
c_000299,552538,HDFC,CREDIT
c_000300,462328,HDFC,CREDIT
c_000301,527169,CITI,CREDIT
c_000302,436610,SBI,CREDIT
c_000303,558718,ICICI,CREDIT
c_000304,465883,ICICI,DEBIT
c_000305,424490,CITI,DEBIT
c_000306,466682,SBI,DEBIT
c_000307,554848,ICICI,DEBIT
c_000308,479301,CITI,CREDIT
c_000309,529142,HDFC,CREDIT
c_000310,529160,CHASE,DEBIT
c_000311,454780,ICICI,DEBIT
c_000312,554379,CITI,CREDIT
c_000313,492875,HDFC,CREDIT
c_000314,414984,ICICI,CREDIT
c_000315,522492,CITI,CREDIT
c_000316,513584,SBI,DEBIT
c_000317,536253,SBI,CREDIT
c_000318,538226,CITI,DEBIT
c_000319,541947,ICICI,CREDIT
c_000320,514620,CHASE,DEBIT
c_000321,506045,ICICI,DEBIT
c_000322,533146,SBI,CREDIT
c_000323,526420,ICICI,DEBIT
c_000324,495004,SBI,DEBIT
c_000325,483593,SBI,DEBIT
c_000326,553512,CHASE,DEBIT
c_000327,545607,ICICI,DEBIT
c_000328,448120,SBI,DEBIT
c_000329,427863,CITI,DEBIT
c_000330,492449,CHASE,DEBIT
c_000331,478610,CHASE,DEBIT
c_000332,544826,CHASE,DEBIT
c_000333,554398,SBI,DEBIT
c_000334,403332,HDFC,DEBIT
c_000335,442605,ICICI,CREDIT
c_000336,422856,SBI,DEBIT
c_000337,555719,HDFC,DEBIT
c_000338,558724,CHASE,CREDIT
c_000339,444627,CHASE,DEBIT
c_000340,435226,CHASE,CREDIT
c_000341,400064,SBI,CREDIT
c_000342,413792,CITI,CREDIT
c_000343,512802,ICICI,DEBIT
c_000344,417498,CHASE,CREDIT
c_000345,410312,HDFC,DEBIT
c_000346,419627,HDFC,DEBIT
c_000347,550712,ICICI,DEBIT
c_000348,497186,ICICI,DEBIT
c_000349,435250,ICICI,CREDIT
c_000350,521551,HDFC,DEBIT
c_000351,555159,ICICI,CREDIT
c_000352,401517,HDFC,CREDIT
c_000353,405575,CITI,DEBIT
c_000354,520954,CHASE,DEBIT
c_000355,483983,CHASE,CREDIT
c_000356,504918,HDFC,CREDIT
c_000357,414389,CHASE,CREDIT
c_000358,434026,CHASE,CREDIT
c_000359,457249,CITI,CREDIT
c_000360,402706,HDFC,CREDIT
c_000361,459839,CHASE,DEBIT
c_000362,452398,SBI,CREDIT
c_000363,423627,CHASE,CREDIT
c_000364,438433,ICICI,DEBIT
c_000365,453893,ICICI,CREDIT
c_000366,430059,HDFC,CREDIT
c_000367,474216,HDFC,CREDIT
c_000368,478556,ICICI,DEBIT
c_000369,425989,CHASE,CREDIT
c_000370,472357,SBI,DEBIT
c_000371,451544,CHASE,DEBIT
c_000372,521614,CHASE,CREDIT
c_000373,537195,SBI,CREDIT
c_000374,510159,HDFC,CREDIT
c_000375,454638,SBI,CREDIT
c_000376,447201,CITI,DEBIT
c_000377,472730,CHASE,DEBIT
c_000378,524094,SBI,CREDIT
c_000379,426237,CITI,CREDIT
c_000380,405183,HDFC,CREDIT
c_000381,548014,ICICI,DEBIT
c_000382,478585,ICICI,DEBIT
c_000383,444223,SBI,DEBIT
c_000384,516731,SBI,CREDIT
c_000385,470076,HDFC,CREDIT
c_000386,444097,ICICI,CREDIT
c_000387,490531,CHASE,CREDIT
c_000388,451477,CITI,CREDIT
c_000389,550103,SBI,CREDIT
c_000390,549493,HDFC,DEBIT
c_000391,494092,SBI,CREDIT
c_000392,459085,CHASE,DEBIT
c_000393,509581,CITI,DEBIT
c_000394,473629,CHASE,DEBIT
c_000395,451867,CITI,CREDIT
c_000396,469788,HDFC,DEBIT
c_000397,400842,CITI,CREDIT
c_000398,459542,CITI,CREDIT
c_000399,482038,CHASE,CREDIT
c_000400,445712,HDFC,CREDIT
c_000401,473014,ICICI,CREDIT
c_000402,554656,CITI,DEBIT
c_000403,408520,CITI,DEBIT
c_000404,525031,CITI,DEBIT
c_000405,468642,CHASE,DEBIT
c_000406,479881,CHASE,CREDIT
c_000407,424605,SBI,DEBIT
c_000408,519435,CITI,CREDIT
c_000409,472301,ICICI,CREDIT
c_000410,413429,CHASE,CREDIT
c_000411,421588,CITI,CREDIT
c_000412,492118,CHASE,CREDIT
c_000413,508552,CHASE,DEBIT
c_000414,501633,ICICI,CREDIT
c_000415,545084,HDFC,CREDIT
c_000416,477839,HDFC,CREDIT
c_000417,535667,CITI,DEBIT
c_000418,415678,ICICI,CREDIT
c_000419,524617,ICICI,DEBIT
c_000420,402907,CITI,CREDIT
c_000421,487692,HDFC,CREDIT
c_000422,547350,CHASE,DEBIT
c_000423,476036,ICICI,CREDIT
c_000424,507976,CHASE,DEBIT
c_000425,488463,HDFC,DEBIT
c_000426,465006,CHASE,CREDIT
c_000427,511360,CITI,DEBIT
c_000428,455384,HDFC,CREDIT
c_000429,526627,CHASE,DEBIT
c_000430,405833,CHASE,CREDIT
c_000431,431520,CITI,DEBIT
c_000432,447981,ICICI,CREDIT
c_000433,507560,CHASE,CREDIT
c_000434,421307,CITI,DEBIT
c_000435,534191,CHASE,CREDIT
c_000436,486270,ICICI,CREDIT
c_000437,556708,HDFC,CREDIT
c_000438,523398,ICICI,CREDIT
c_000439,453569,SBI,DEBIT
c_000440,535013,CITI,CREDIT
c_000441,504806,HDFC,CREDIT
c_000442,484581,HDFC,CREDIT
c_000443,549684,ICICI,DEBIT
c_000444,430919,CHASE,DEBIT
c_000445,468776,CITI,CREDIT
c_000446,420381,CITI,CREDIT
c_000447,516072,HDFC,CREDIT
c_000448,502433,ICICI,DEBIT
c_000449,416041,HDFC,CREDIT
c_000450,442692,CITI,DEBIT
c_000451,524404,ICICI,DEBIT
c_000452,533423,CITI,DEBIT
c_000453,548543,CITI,DEBIT
c_000454,528591,HDFC,DEBIT
c_000455,509754,SBI,DEBIT
c_000456,461179,CHASE,DEBIT
c_000457,519941,HDFC,CREDIT
c_000458,480730,CITI,CREDIT
c_000459,444988,CHASE,CREDIT
c_000460,441349,HDFC,DEBIT
c_000461,555021,CITI,DEBIT
c_000462,422832,ICICI,CREDIT
c_000463,479295,CITI,DEBIT
c_000464,429610,SBI,CREDIT
c_000465,548263,CITI,CREDIT
c_000466,517870,HDFC,CREDIT
c_000467,556975,ICICI,DEBIT
c_000468,489123,CITI,CREDIT
c_000469,449768,HDFC,CREDIT
c_000470,467754,CITI,DEBIT
c_000471,471186,ICICI,CREDIT
c_000472,464319,HDFC,DEBIT
c_000473,419751,CHASE,DEBIT
c_000474,508602,CHASE,DEBIT
c_000475,501283,CHASE,CREDIT
c_000476,458141,HDFC,CREDIT
c_000477,538334,CITI,DEBIT
c_000478,426989,CHASE,CREDIT
c_000479,552284,ICICI,DEBIT
c_000480,486132,HDFC,DEBIT
c_000481,517641,HDFC,DEBIT
c_000482,524768,HDFC,DEBIT
c_000483,508073,SBI,DEBIT
c_000484,516986,HDFC,DEBIT
c_000485,408149,CITI,DEBIT
c_000486,535680,HDFC,CREDIT
c_000487,441768,CHASE,DEBIT
c_000488,538593,ICICI,CREDIT
c_000489,544249,ICICI,CREDIT
c_000490,478419,CITI,CREDIT
c_000491,407914,HDFC,CREDIT
c_000492,438615,CITI,CREDIT
c_000493,548097,ICICI,CREDIT
c_000494,472249,HDFC,DEBIT
c_000495,509824,CITI,DEBIT
c_000496,510882,CITI,DEBIT
c_000497,557244,CHASE,DEBIT
c_000498,444955,CHASE,CREDIT
c_000499,502737,ICICI,DEBIT
c_000500,546137,HDFC,DEBIT
c_000501,404389,ICICI,DEBIT
c_000502,519613,HDFC,DEBIT
c_000503,510435,ICICI,CREDIT
c_000504,473560,SBI,DEBIT
c_000505,485475,CITI,CREDIT
c_000506,448203,SBI,CREDIT
c_000507,536818,CHASE,DEBIT
c_000508,421292,ICICI,DEBIT
c_000509,477394,ICICI,CREDIT
c_000510,442547,SBI,DEBIT
c_000511,506908,CITI,DEBIT
c_000512,553502,HDFC,DEBIT
c_000513,458413,CHASE,CREDIT
c_000514,465180,HDFC,DEBIT
c_000515,544525,SBI,CREDIT
c_000516,506186,HDFC,DEBIT
c_000517,559919,CHASE,CREDIT
c_000518,400201,ICICI,CREDIT
c_000519,463513,CHASE,CREDIT
c_000520,434854,SBI,DEBIT
c_000521,492256,SBI,DEBIT
c_000522,511388,SBI,DEBIT
c_000523,539667,CHASE,CREDIT
c_000524,472976,HDFC,DEBIT
c_000525,504885,SBI,DEBIT
c_000526,431157,SBI,CREDIT
c_000527,530655,ICICI,CREDIT
c_000528,472468,CHASE,CREDIT
c_000529,439916,ICICI,DEBIT
c_000530,460508,CHASE,DEBIT
c_000531,499918,CHASE,CREDIT
c_000532,558418,CITI,CREDIT
c_000533,474371,CITI,DEBIT
c_000534,433907,SBI,CREDIT
c_000535,548621,CHASE,DEBIT
c_000536,435360,HDFC,CREDIT
c_000537,448757,CITI,CREDIT
c_000538,448370,ICICI,CREDIT
c_000539,547764,CITI,DEBIT
c_000540,402904,CHASE,CREDIT
c_000541,504373,HDFC,CREDIT
c_000542,549211,CITI,CREDIT
c_000543,446378,ICICI,CREDIT
c_000544,498816,CITI,DEBIT
c_000545,554137,CITI,DEBIT
c_000546,456449,SBI,CREDIT
c_000547,504809,CITI,CREDIT
c_000548,529874,CHASE,DEBIT
c_000549,497561,CHASE,DEBIT
c_000550,478933,HDFC,DEBIT
c_000551,466796,CITI,DEBIT
c_000552,412807,CITI,CREDIT
c_000553,559385,ICICI,DEBIT
c_000554,485818,ICICI,DEBIT
c_000555,557152,HDFC,DEBIT
c_000556,433044,CHASE,DEBIT
c_000557,407688,HDFC,DEBIT
c_000558,475915,SBI,DEBIT
c_000559,522266,CHASE,DEBIT
c_000560,417652,SBI,DEBIT
c_000561,408848,SBI,DEBIT
c_000562,457075,SBI,DEBIT
c_000563,404373,ICICI,CREDIT
c_000564,484252,ICICI,CREDIT
c_000565,434706,HDFC,CREDIT
c_000566,485780,CHASE,CREDIT
c_000567,441882,ICICI,CREDIT
c_000568,402977,SBI,DEBIT
c_000569,414578,CITI,DEBIT
c_000570,461219,SBI,DEBIT
c_000571,408121,CITI,CREDIT
c_000572,511837,CHASE,DEBIT
c_000573,468424,CITI,CREDIT
c_000574,432794,CITI,DEBIT
c_000575,496998,CHASE,DEBIT
c_000576,401130,HDFC,CREDIT
c_000577,495550,ICICI,DEBIT
c_000578,517589,CITI,CREDIT
c_000579,507227,HDFC,CREDIT
c_000580,549912,SBI,CREDIT
c_000581,440091,SBI,DEBIT
c_000582,481165,ICICI,CREDIT
c_000583,528647,SBI,DEBIT
c_000584,442825,SBI,DEBIT
c_000585,419016,ICICI,CREDIT
c_000586,482771,CHASE,DEBIT
c_000587,403337,HDFC,CREDIT
c_000588,528500,CHASE,DEBIT
c_000589,444448,HDFC,CREDIT
c_000590,491648,HDFC,DEBIT
c_000591,509849,HDFC,DEBIT
c_000592,411793,ICICI,CREDIT
c_000593,553047,CITI,DEBIT
c_000594,554871,ICICI,CREDIT
c_000595,450692,ICICI,CREDIT
c_000596,410568,ICICI,CREDIT
c_000597,448194,SBI,CREDIT
c_000598,472105,CHASE,CREDIT
c_000599,544166,CITI,DEBIT
c_000600,471023,CHASE,CREDIT
c_000601,406729,CHASE,CREDIT
c_000602,433730,ICICI,CREDIT
c_000603,417219,HDFC,CREDIT
c_000604,508406,SBI,DEBIT
c_000605,559462,HDFC,CREDIT
c_000606,408943,CITI,CREDIT
c_000607,423547,CHASE,DEBIT
c_000608,443636,CITI,CREDIT
c_000609,420567,SBI,CREDIT
c_000610,500539,ICICI,CREDIT
c_000611,409709,CITI,DEBIT
c_000612,546366,SBI,DEBIT
c_000613,490259,SBI,DEBIT
c_000614,425018,SBI,CREDIT
c_000615,468307,SBI,CREDIT
c_000616,495877,ICICI,DEBIT
c_000617,504430,HDFC,CREDIT
c_000618,523940,HDFC,DEBIT
c_000619,474725,HDFC,DEBIT
c_000620,403303,SBI,CREDIT
c_000621,481725,HDFC,CREDIT
c_000622,404816,ICICI,DEBIT
c_000623,446716,HDFC,DEBIT
c_000624,454789,CITI,CREDIT
c_000625,503194,ICICI,DEBIT
c_000626,462533,CITI,CREDIT
c_000627,542603,CITI,CREDIT
c_000628,473059,HDFC,CREDIT
c_000629,540031,CITI,DEBIT
c_000630,439728,CHASE,CREDIT
c_000631,441274,CITI,CREDIT
c_000632,423735,CHASE,CREDIT
c_000633,514643,CITI,DEBIT
c_000634,453404,ICICI,CREDIT
c_000635,509451,ICICI,DEBIT
c_000636,414547,ICICI,CREDIT
c_000637,478638,SBI,DEBIT
c_000638,531894,CITI,DEBIT
c_000639,513246,CHASE,DEBIT
c_000640,532537,CITI,CREDIT
c_000641,411156,CITI,DEBIT
c_000642,410754,HDFC,DEBIT
c_000643,541780,SBI,DEBIT
c_000644,420672,HDFC,DEBIT
c_000645,438078,CHASE,CREDIT
c_000646,426282,HDFC,CREDIT
c_000647,540801,SBI,CREDIT
c_000648,547030,HDFC,CREDIT
c_000649,442731,CHASE,DEBIT
c_000650,448882,HDFC,DEBIT
c_000651,555713,CHASE,DEBIT
c_000652,477402,CHASE,DEBIT
c_000653,438467,HDFC,CREDIT
c_000654,459215,CITI,CREDIT
c_000655,401837,CHASE,CREDIT
c_000656,471470,SBI,CREDIT
c_000657,477664,CHASE,DEBIT
c_000658,539414,ICICI,DEBIT
c_000659,420952,CHASE,DEBIT
c_000660,475831,CHASE,DEBIT
c_000661,550023,SBI,DEBIT
c_000662,551146,SBI,CREDIT
c_000663,527380,CHASE,CREDIT
c_000664,434673,CHASE,DEBIT
c_000665,465063,SBI,CREDIT
c_000666,400727,SBI,DEBIT
c_000667,403567,ICICI,CREDIT
c_000668,419312,CITI,CREDIT
c_000669,404310,ICICI,CREDIT
c_000670,527444,CITI,CREDIT
c_000671,401556,ICICI,CREDIT
c_000672,535511,CHASE,DEBIT
c_000673,486676,HDFC,CREDIT
c_000674,461998,HDFC,CREDIT
c_000675,503759,ICICI,CREDIT
c_000676,402192,SBI,DEBIT
c_000677,433886,CITI,DEBIT
c_000678,512442,SBI,DEBIT
c_000679,542873,CITI,DEBIT
c_000680,402870,ICICI,DEBIT
c_000681,555284,HDFC,DEBIT
c_000682,415388,ICICI,DEBIT
c_000683,437529,SBI,DEBIT
c_000684,406109,CITI,CREDIT
c_000685,488858,ICICI,DEBIT
c_000686,520604,SBI,CREDIT
c_000687,556619,SBI,DEBIT
c_000688,429389,CITI,DEBIT
c_000689,502871,HDFC,DEBIT
c_000690,539839,CHASE,DEBIT
c_000691,434877,CHASE,CREDIT
c_000692,529236,SBI,CREDIT
c_000693,467577,SBI,DEBIT
c_000694,411493,SBI,CREDIT
c_000695,545971,CITI,CREDIT
c_000696,474793,SBI,DEBIT
c_000697,534688,HDFC,DEBIT
c_000698,546129,HDFC,DEBIT
c_000699,543661,CITI,CREDIT
c_000700,491189,SBI,DEBIT
c_000701,474289,SBI,CREDIT
c_000702,504369,CHASE,DEBIT
c_000703,444007,CITI,CREDIT
c_000704,439166,HDFC,CREDIT
c_000705,529772,HDFC,CREDIT
c_000706,506797,CHASE,DEBIT
c_000707,461534,CHASE,DEBIT
c_000708,510100,ICICI,CREDIT
c_000709,542019,CHASE,DEBIT
c_000710,517347,HDFC,CREDIT
c_000711,517678,ICICI,CREDIT
c_000712,506457,HDFC,DEBIT
c_000713,451574,SBI,DEBIT
c_000714,495937,CITI,CREDIT
c_000715,407123,HDFC,CREDIT
c_000716,452179,HDFC,DEBIT
c_000717,515662,ICICI,DEBIT
c_000718,510928,CHASE,DEBIT
c_000719,482846,CHASE,DEBIT
c_000720,490927,CITI,CREDIT
c_000721,549967,HDFC,CREDIT
c_000722,433803,ICICI,CREDIT
c_000723,479225,HDFC,DEBIT
c_000724,464302,CITI,CREDIT
c_000725,480633,CHASE,CREDIT
c_000726,414841,CHASE,CREDIT
c_000727,495778,ICICI,DEBIT
c_000728,483853,CHASE,DEBIT
c_000729,483707,CHASE,DEBIT
c_000730,550121,HDFC,CREDIT
c_000731,513961,SBI,CREDIT
c_000732,552236,ICICI,CREDIT
c_000733,486533,CHASE,DEBIT
c_000734,545156,ICICI,DEBIT
c_000735,484480,CITI,CREDIT
c_000736,469164,CITI,CREDIT
c_000737,503805,CITI,DEBIT
c_000738,498108,CHASE,DEBIT
c_000739,448689,ICICI,CREDIT
c_000740,524268,HDFC,CREDIT
c_000741,464057,HDFC,DEBIT
c_000742,547760,ICICI,DEBIT
c_000743,406693,CITI,CREDIT
c_000744,513373,CHASE,DEBIT
c_000745,456888,ICICI,DEBIT
c_000746,558257,CHASE,DEBIT
c_000747,434933,ICICI,CREDIT
c_000748,475784,SBI,DEBIT
c_000749,448770,CITI,DEBIT
