txn_id,note_text,created_at
tx_2024-01_25083,Merchant previously linked to fraud ring.,2025-04-21 11:06:01
tx_2024-01_117676,Cardholder reported unauthorized transaction.,2025-10-29 10:28:27
tx_2024-01_80079,Device fingerprint inconsistent.,2025-01-11 10:49:21
tx_2024-01_97217,Multiple failed attempts before success.,2025-10-02 07:50:33
tx_2024-01_70564,Multiple failed attempts before success.,2025-07-31 13:58:28
tx_2024-01_95276,Multiple failed attempts before success.,2025-03-26 02:06:59
tx_2024-01_11646,Multiple failed attempts before success.,2025-11-23 22:05:29
tx_2024-01_91022,Multiple failed attempts before success.,2025-04-19 22:11:04
tx_2024-01_17362,Merchant previously linked to fraud ring.,2025-02-02 14:53:23
tx_2024-01_1640,Cardholder reported unauthorized transaction.,2025-02-07 16:36:26
tx_2024-01_98087,Cardholder reported unauthorized transaction.,2025-08-03 01:29:54
tx_2024-01_28823,Merchant previously linked to fraud ring.,2025-01-16 00:41:11
tx_2024-01_74506,Multiple failed attempts before success.,2025-10-15 04:54:20
tx_2024-01_123730,Merchant previously linked to fraud ring.,2025-02-18 12:43:40
tx_2024-01_138404,Device fingerprint inconsistent.,2025-04-27 13:44:02
tx_2024-01_47076,Multiple failed attempts before success.,2025-10-16 00:42:51
tx_2024-01_78927,Multiple failed attempts before success.,2025-06-23 13:29:33
tx_2024-01_70038,Multiple failed attempts before success.,2025-08-03 12:00:46
tx_2024-01_133683,Merchant previously linked to fraud ring.,2025-01-31 21:49:15
tx_2024-01_133907,Merchant previously linked to fraud ring.,2025-11-10 10:12:48
tx_2024-01_89757,Cardholder reported unauthorized transaction.,2025-10-20 19:18:18
tx_2024-01_89528,Multiple failed attempts before success.,2025-11-10 08:42:40
tx_2024-01_142102,Device fingerprint inconsistent.,2025-01-25 12:54:38
tx_2024-01_21061,Multiple failed attempts before success.,2025-11-19 16:59:25
tx_2024-01_38760,Device fingerprint inconsistent.,2025-05-04 12:11:59
tx_2024-01_29897,Multiple failed attempts before success.,2025-10-26 07:22:06
tx_2024-01_9488,Multiple failed attempts before success.,2025-03-08 05:29:34
tx_2024-01_135202,Device fingerprint inconsistent.,2025-12-05 07:18:48
tx_2024-01_20443,Merchant previously linked to fraud ring.,2025-11-17 15:03:09
tx_2024-01_141345,Merchant previously linked to fraud ring.,2025-11-04 10:38:34
tx_2024-01_87448,Merchant previously linked to fraud ring.,2025-09-11 01:19:17
tx_2024-01_91889,Cardholder reported unauthorized transaction.,2025-02-28 10:44:22
tx_2024-01_88749,Cardholder reported unauthorized transaction.,2025-06-13 14:50:33
tx_2024-01_18698,Device fingerprint inconsistent.,2025-10-07 22:32:10
tx_2024-01_101714,Multiple failed attempts before success.,2025-08-18 05:48:05
tx_2024-01_94773,Cardholder reported unauthorized transaction.,2025-05-07 15:24:03
tx_2024-01_86552,Cardholder reported unauthorized transaction.,2025-07-07 01:59:09
tx_2024-01_22486,Multiple failed attempts before success.,2025-09-08 00:42:43
tx_2024-01_44398,Multiple failed attempts before success.,2025-03-08 09:00:53
tx_2024-01_98898,Merchant previously linked to fraud ring.,2025-04-01 16:01:31
tx_2024-01_79889,Device fingerprint inconsistent.,2025-11-09 14:59:06
tx_2024-01_26023,Device fingerprint inconsistent.,2025-03-17 01:44:35
tx_2024-01_76180,Device fingerprint inconsistent.,2025-09-11 07:49:54
tx_2024-01_72533,Cardholder reported unauthorized transaction.,2025-03-14 06:55:33
tx_2024-01_136220,Multiple failed attempts before success.,2025-07-09 07:31:02
tx_2024-01_31492,Multiple failed attempts before success.,2025-04-03 00:32:56
tx_2024-01_11127,Merchant previously linked to fraud ring.,2025-09-29 21:14:13
tx_2024-01_24677,Device fingerprint inconsistent.,2025-04-27 02:26:36
tx_2024-01_73953,Cardholder reported unauthorized transaction.,2025-06-11 02:53:06
tx_2024-01_130103,Merchant previously linked to fraud ring.,2025-04-22 10:06:07
tx_2024-01_32185,Merchant previously linked to fraud ring.,2025-11-12 21:05:23
tx_2024-01_74026,Device fingerprint inconsistent.,2025-01-02 00:58:57
tx_2024-01_41393,Merchant previously linked to fraud ring.,2025-08-16 01:57:02
tx_2024-01_52507,Device fingerprint inconsistent.,2025-04-25 02:12:31
tx_2024-01_61197,Device fingerprint inconsistent.,2025-02-15 23:35:16
tx_2024-01_14109,Device fingerprint inconsistent.,2025-08-12 13:41:02
tx_2024-01_127562,Cardholder reported unauthorized transaction.,2025-09-26 05:52:20
tx_2024-01_32862,Multiple failed attempts before success.,2025-05-29 13:02:28
tx_2024-01_117018,Cardholder reported unauthorized transaction.,2025-09-17 12:42:12
tx_2024-01_67961,Merchant previously linked to fraud ring.,2025-06-19 13:45:40
tx_2024-01_90620,Multiple failed attempts before success.,2025-09-11 03:41:38
tx_2024-01_81963,Cardholder reported unauthorized transaction.,2025-10-20 00:27:31
tx_2024-01_127863,Merchant previously linked to fraud ring.,2025-06-28 15:53:24
tx_2024-01_34530,Device fingerprint inconsistent.,2025-03-10 20:40:12
tx_2024-01_76029,Device fingerprint inconsistent.,2025-12-09 10:21:35
tx_2024-01_142512,Device fingerprint inconsistent.,2025-04-06 18:47:20
tx_2024-01_90836,Multiple failed attempts before success.,2025-11-18 22:53:36
tx_2024-01_23997,Device fingerprint inconsistent.,2025-02-07 14:33:25
tx_2024-01_97392,Device fingerprint inconsistent.,2025-05-05 11:13:07
tx_2024-01_149729,Multiple failed attempts before success.,2025-09-02 19:34:03
tx_2024-01_101138,Device fingerprint inconsistent.,2025-12-13 08:36:23
tx_2024-01_1920,Cardholder reported unauthorized transaction.,2025-11-28 21:07:36
tx_2024-01_111499,Device fingerprint inconsistent.,2025-11-26 14:39:35
tx_2024-01_5474,Cardholder reported unauthorized transaction.,2025-10-29 13:50:32
tx_2024-01_22515,Cardholder reported unauthorized transaction.,2025-05-21 23:42:59
tx_2024-01_10260,Multiple failed attempts before success.,2025-08-04 03:08:18
tx_2024-01_118996,Cardholder reported unauthorized transaction.,2025-04-09 22:38:12
tx_2024-01_23562,Cardholder reported unauthorized transaction.,2025-02-12 07:32:49
tx_2024-01_125459,Multiple failed attempts before success.,2025-10-23 11:12:37
tx_2024-01_92276,Cardholder reported unauthorized transaction.,2025-03-04 20:20:20
tx_2024-01_128035,Cardholder reported unauthorized transaction.,2025-12-17 12:29:02
tx_2024-01_94773,Cardholder reported unauthorized transaction.,2025-12-15 01:32:15
tx_2024-01_51192,Device fingerprint inconsistent.,2025-01-28 11:39:01
tx_2024-01_23344,Cardholder reported unauthorized transaction.,2025-04-30 22:56:17
tx_2024-01_148120,Device fingerprint inconsistent.,2025-01-13 12:40:26
tx_2024-01_11824,Multiple failed attempts before success.,2025-07-31 15:02:15
tx_2024-01_49121,Merchant previously linked to fraud ring.,2025-07-06 21:44:47
tx_2024-01_45830,Merchant previously linked to fraud ring.,2025-12-07 20:39:10
tx_2024-01_134563,Device fingerprint inconsistent.,2025-08-18 02:25:31
tx_2024-01_16152,Multiple failed attempts before success.,2025-06-18 22:41:54
tx_2024-01_5145,Multiple failed attempts before success.,2025-04-27 19:19:21
tx_2024-01_38323,Multiple failed attempts before success.,2025-10-07 07:36:26
tx_2024-01_38724,Merchant previously linked to fraud ring.,2025-01-26 06:54:49
tx_2024-01_98123,Merchant previously linked to fraud ring.,2025-12-12 11:37:57
tx_2024-01_66177,Merchant previously linked to fraud ring.,2025-04-20 03:53:54
tx_2024-01_36476,Multiple failed attempts before success.,2025-08-29 07:59:27
tx_2024-01_122680,Cardholder reported unauthorized transaction.,2025-02-23 02:16:10
tx_2024-01_65703,Multiple failed attempts before success.,2025-08-30 12:25:14
tx_2024-01_37641,Cardholder reported unauthorized transaction.,2025-03-09 20:14:22
tx_2024-01_130831,Cardholder reported unauthorized transaction.,2025-11-23 22:10:00
tx_2024-01_93813,Cardholder reported unauthorized transaction.,2025-04-29 20:06:06
tx_2024-01_146619,Device fingerprint inconsistent.,2025-07-09 00:46:01
tx_2024-01_46392,Merchant previously linked to fraud ring.,2025-03-11 03:36:27
tx_2024-01_93295,Merchant previously linked to fraud ring.,2025-03-05 21:16:26
tx_2024-01_39074,Cardholder reported unauthorized transaction.,2025-03-18 08:09:21
tx_2024-01_95252,Cardholder reported unauthorized transaction.,2025-07-28 15:51:36
tx_2024-01_27696,Merchant previously linked to fraud ring.,2025-04-15 23:15:03
tx_2024-01_138989,Multiple failed attempts before success.,2025-05-31 16:45:17
tx_2024-01_34214,Cardholder reported unauthorized transaction.,2025-06-22 21:12:44
tx_2024-01_53717,Device fingerprint inconsistent.,2025-12-01 07:15:54
tx_2024-01_107333,Merchant previously linked to fraud ring.,2025-11-21 12:55:38
tx_2024-01_110462,Device fingerprint inconsistent.,2025-05-14 01:26:05
tx_2024-01_121015,Multiple failed attempts before success.,2025-01-28 09:19:46
tx_2024-01_99597,Device fingerprint inconsistent.,2025-09-10 00:31:04
tx_2024-01_3361,Merchant previously linked to fraud ring.,2025-09-22 03:23:01
tx_2024-01_20612,Merchant previously linked to fraud ring.,2025-03-04 23:52:58
tx_2024-01_79049,Multiple failed attempts before success.,2025-05-09 09:50:12
tx_2024-01_82823,Multiple failed attempts before success.,2025-05-31 06:49:23
tx_2024-01_17452,Multiple failed attempts before success.,2025-06-23 17:34:37
tx_2024-01_70912,Multiple failed attempts before success.,2025-11-09 00:23:26
tx_2024-01_25146,Cardholder reported unauthorized transaction.,2025-04-22 16:16:33
tx_2024-01_97733,Device fingerprint inconsistent.,2025-10-03 11:00:17
tx_2024-01_142242,Device fingerprint inconsistent.,2025-05-09 12:53:13
tx_2024-01_125686,Merchant previously linked to fraud ring.,2025-06-12 09:28:55
tx_2024-01_117089,Merchant previously linked to fraud ring.,2025-03-12 18:37:00
tx_2024-01_79618,Device fingerprint inconsistent.,2025-05-10 04:46:16
tx_2024-01_70766,Cardholder reported unauthorized transaction.,2025-04-06 02:52:05
tx_2024-01_58824,Merchant previously linked to fraud ring.,2025-03-15 02:00:34
tx_2024-01_114519,Multiple failed attempts before success.,2025-01-05 14:16:15
tx_2024-01_52323,Multiple failed attempts before success.,2025-03-30 23:35:39
tx_2024-01_98487,Multiple failed attempts before success.,2025-01-26 22:27:04
tx_2024-01_76773,Multiple failed attempts before success.,2025-06-12 01:32:37
tx_2024-01_94698,Multiple failed attempts before success.,2025-07-11 09:21:11
tx_2024-01_7062,Multiple failed attempts before success.,2025-07-04 01:17:26
tx_2024-01_50294,Merchant previously linked to fraud ring.,2025-06-19 08:08:19
tx_2024-01_45698,Cardholder reported unauthorized transaction.,2025-04-27 12:52:54
tx_2024-01_122784,Device fingerprint inconsistent.,2025-02-04 23:22:19
tx_2024-01_81278,Device fingerprint inconsistent.,2025-04-03 16:35:35
tx_2024-01_53415,Merchant previously linked to fraud ring.,2025-09-11 20:55:04
tx_2024-01_131027,Merchant previously linked to fraud ring.,2025-01-11 22:00:08
tx_2024-01_143569,Merchant previously linked to fraud ring.,2025-09-01 18:31:07
tx_2024-01_84693,Device fingerprint inconsistent.,2025-10-22 10:12:37
tx_2024-01_22294,Cardholder reported unauthorized transaction.,2025-03-17 07:43:38
tx_2024-01_20691,Merchant previously linked to fraud ring.,2025-04-16 14:55:26
tx_2024-01_112519,Device fingerprint inconsistent.,2025-06-03 01:33:34
tx_2024-01_116898,Multiple failed attempts before success.,2025-07-17 06:04:19
tx_2024-01_138180,Cardholder reported unauthorized transaction.,2025-11-04 10:53:52
tx_2024-01_97731,Cardholder reported unauthorized transaction.,2025-11-20 18:09:23
tx_2024-01_38109,Merchant previously linked to fraud ring.,2025-07-01 13:34:57
tx_2024-01_131436,Device fingerprint inconsistent.,2025-04-30 18:00:18
tx_2024-01_21254,Device fingerprint inconsistent.,2025-08-04 16:04:01
tx_2024-01_54639,Multiple failed attempts before success.,2025-07-02 02:19:38
tx_2024-01_41818,Device fingerprint inconsistent.,2025-10-22 14:56:57
tx_2024-01_76258,Multiple failed attempts before success.,2025-10-17 22:42:05
tx_2024-01_90395,Device fingerprint inconsistent.,2025-03-11 21:09:55
tx_2024-01_37419,Cardholder reported unauthorized transaction.,2025-09-04 20:55:29
tx_2024-01_113901,Merchant previously linked to fraud ring.,2025-02-21 06:27:58
tx_2024-01_106114,Cardholder reported unauthorized transaction.,2025-11-13 04:53:36
tx_2024-01_110376,Cardholder reported unauthorized transaction.,2025-07-12 17:30:17
tx_2024-01_89413,Device fingerprint inconsistent.,2025-10-23 09:43:26
tx_2024-01_9747,Cardholder reported unauthorized transaction.,2025-10-10 23:46:24
tx_2024-01_44801,Multiple failed attempts before success.,2025-05-25 17:47:50
tx_2024-01_69294,Multiple failed attempts before success.,2025-09-23 14:26:29
tx_2024-01_14055,Device fingerprint inconsistent.,2025-03-06 07:42:39
tx_2024-01_4592,Device fingerprint inconsistent.,2025-04-08 16:48:41
tx_2024-01_78169,Multiple failed attempts before success.,2025-09-05 04:48:28
tx_2024-01_71729,Merchant previously linked to fraud ring.,2025-02-13 07:43:37
tx_2024-01_127000,Merchant previously linked to fraud ring.,2025-11-20 17:18:36
tx_2024-01_54871,Cardholder reported unauthorized transaction.,2025-11-10 16:00:22
tx_2024-01_141729,Merchant previously linked to fraud ring.,2025-03-20 20:41:57
tx_2024-01_127681,Multiple failed attempts before success.,2025-02-11 13:43:51
tx_2024-01_147962,Merchant previously linked to fraud ring.,2025-07-16 14:04:38
tx_2024-01_74938,Multiple failed attempts before success.,2025-05-09 11:34:29
tx_2024-01_72403,Device fingerprint inconsistent.,2025-05-21 07:28:53
tx_2024-01_93715,Cardholder reported unauthorized transaction.,2025-01-25 13:21:48
tx_2024-01_1371,Merchant previously linked to fraud ring.,2025-11-19 13:10:56
tx_2024-01_76194,Multiple failed attempts before success.,2025-07-31 11:49:55
tx_2024-01_57056,Multiple failed attempts before success.,2025-03-09 17:17:49
tx_2024-01_84686,Merchant previously linked to fraud ring.,2025-07-21 06:37:55
tx_2024-01_36472,Multiple failed attempts before success.,2025-12-05 23:48:26
tx_2024-01_34271,Multiple failed attempts before success.,2025-01-29 03:36:02
tx_2024-01_41274,Merchant previously linked to fraud ring.,2025-01-05 04:13:49
tx_2024-01_103412,Cardholder reported unauthorized transaction.,2025-11-09 01:30:15
tx_2024-01_118327,Multiple failed attempts before success.,2025-11-10 16:55:21
tx_2024-01_79942,Device fingerprint inconsistent.,2025-01-02 12:04:51
tx_2024-01_94249,Merchant previously linked to fraud ring.,2025-08-24 08:01:06
tx_2024-01_142998,Device fingerprint inconsistent.,2025-10-25 23:53:47
tx_2024-01_47893,Merchant previously linked to fraud ring.,2025-09-22 05:39:44
tx_2024-01_17507,Multiple failed attempts before success.,2025-10-17 18:22:39
tx_2024-01_32251,Device fingerprint inconsistent.,2025-05-05 13:50:28
tx_2024-01_142173,Multiple failed attempts before success.,2025-12-08 17:28:57
tx_2024-01_67705,Cardholder reported unauthorized transaction.,2025-05-07 00:17:22
tx_2024-01_94565,Device fingerprint inconsistent.,2025-03-11 17:45:12
tx_2024-01_20965,Device fingerprint inconsistent.,2025-11-13 05:53:53
tx_2024-01_129988,Device fingerprint inconsistent.,2025-11-02 08:41:08
tx_2024-01_110939,Merchant previously linked to fraud ring.,2025-03-27 17:07:08
tx_2024-01_7641,Multiple failed attempts before success.,2025-08-18 09:24:19
tx_2024-01_54748,Multiple failed attempts before success.,2025-09-19 00:40:16
tx_2024-01_99748,Merchant previously linked to fraud ring.,2025-08-21 21:37:08
tx_2024-01_14585,Cardholder reported unauthorized transaction.,2025-12-04 11:53:40
tx_2024-01_54908,Merchant previously linked to fraud ring.,2025-05-09 08:41:39
tx_2024-01_109662,Device fingerprint inconsistent.,2025-06-30 20:54:57
tx_2024-01_38445,Merchant previously linked to fraud ring.,2025-11-25 10:08:02
tx_2024-01_19119,Cardholder reported unauthorized transaction.,2025-12-14 21:11:10
tx_2024-01_1791,Merchant previously linked to fraud ring.,2025-12-15 14:21:26
tx_2024-01_121046,Multiple failed attempts before success.,2025-02-21 01:35:53
tx_2024-01_75769,Device fingerprint inconsistent.,2025-09-29 21:28:01
tx_2024-01_73188,Device fingerprint inconsistent.,2025-06-28 02:47:31
tx_2024-01_44178,Merchant previously linked to fraud ring.,2025-01-28 06:51:39
tx_2024-01_108177,Multiple failed attempts before success.,2025-09-06 08:09:39
tx_2024-01_54399,Merchant previously linked to fraud ring.,2025-10-26 02:48:03
tx_2024-01_38701,Multiple failed attempts before success.,2025-07-30 01:49:19
tx_2024-01_49042,Device fingerprint inconsistent.,2025-06-17 08:13:10
tx_2024-01_63701,Cardholder reported unauthorized transaction.,2025-11-09 14:39:14
tx_2024-01_30059,Multiple failed attempts before success.,2025-08-17 10:10:56
tx_2024-01_121385,Device fingerprint inconsistent.,2025-12-15 13:41:03
tx_2024-01_4691,Cardholder reported unauthorized transaction.,2025-03-20 12:53:42
tx_2024-01_61019,Device fingerprint inconsistent.,2025-11-21 07:46:26
tx_2024-01_112634,Cardholder reported unauthorized transaction.,2025-08-03 05:21:57
tx_2024-01_47313,Device fingerprint inconsistent.,2025-08-05 04:45:06
tx_2024-01_54437,Cardholder reported unauthorized transaction.,2025-02-17 02:05:36
tx_2024-01_3505,Merchant previously linked to fraud ring.,2025-06-20 20:09:40
tx_2024-01_113590,Device fingerprint inconsistent.,2025-02-14 10:16:43
tx_2024-01_28091,Multiple failed attempts before success.,2025-12-04 16:24:49
tx_2024-01_112822,Cardholder reported unauthorized transaction.,2025-01-14 00:22:38
tx_2024-01_64674,Device fingerprint inconsistent.,2025-05-27 20:37:41
tx_2024-01_137900,Device fingerprint inconsistent.,2025-02-17 22:49:56
tx_2024-01_122782,Device fingerprint inconsistent.,2025-02-23 08:24:14
tx_2024-01_99870,Merchant previously linked to fraud ring.,2025-08-25 04:33:16
tx_2024-01_43434,Merchant previously linked to fraud ring.,2025-02-26 14:50:55
tx_2024-01_140358,Device fingerprint inconsistent.,2025-08-14 03:14:40
tx_2024-01_9898,Device fingerprint inconsistent.,2025-10-01 21:37:55
tx_2024-01_120724,Cardholder reported unauthorized transaction.,2025-02-17 18:19:58
tx_2024-01_77036,Cardholder reported unauthorized transaction.,2025-01-04 20:29:40
tx_2024-01_51426,Merchant previously linked to fraud ring.,2025-05-15 10:09:32
tx_2024-01_126406,Merchant previously linked to fraud ring.,2025-05-08 03:29:12
tx_2024-01_128971,Merchant previously linked to fraud ring.,2025-08-05 07:27:24
tx_2024-01_81481,Device fingerprint inconsistent.,2025-04-16 14:19:26
tx_2024-01_67165,Merchant previously linked to fraud ring.,2025-08-07 21:46:31
tx_2024-01_31038,Device fingerprint inconsistent.,2025-11-09 07:38:12
tx_2024-01_109018,Device fingerprint inconsistent.,2025-01-13 15:50:24
tx_2024-01_94404,Device fingerprint inconsistent.,2025-09-10 12:26:55
tx_2024-01_57728,Cardholder reported unauthorized transaction.,2025-09-24 10:58:01
tx_2024-01_81338,Device fingerprint inconsistent.,2025-02-02 02:09:55
tx_2024-01_27441,Multiple failed attempts before success.,2025-12-11 00:58:46
tx_2024-01_55516,Device fingerprint inconsistent.,2025-07-02 02:53:20
tx_2024-01_77005,Merchant previously linked to fraud ring.,2025-04-17 20:10:58
tx_2024-01_142937,Multiple failed attempts before success.,2025-01-13 11:48:46
tx_2024-01_50376,Device fingerprint inconsistent.,2025-03-28 14:43:38
tx_2024-01_39873,Multiple failed attempts before success.,2025-05-08 15:20:31
tx_2024-01_118776,Device fingerprint inconsistent.,2025-03-30 09:37:01
tx_2024-01_84281,Multiple failed attempts before success.,2025-11-03 19:47:56
tx_2024-01_37261,Device fingerprint inconsistent.,2025-07-30 12:29:13
tx_2024-01_145016,Device fingerprint inconsistent.,2025-08-08 15:55:03
tx_2024-01_96969,Multiple failed attempts before success.,2025-05-19 11:15:58
tx_2024-01_41527,Merchant previously linked to fraud ring.,2025-02-11 09:05:28
tx_2024-01_88896,Cardholder reported unauthorized transaction.,2025-02-13 13:20:49
tx_2024-01_144786,Multiple failed attempts before success.,2025-07-22 06:18:22
tx_2024-01_76722,Cardholder reported unauthorized transaction.,2025-09-06 18:24:34
tx_2024-01_38536,Device fingerprint inconsistent.,2025-12-03 04:45:04
tx_2024-01_144045,Cardholder reported unauthorized transaction.,2025-07-26 21:15:45
tx_2024-01_64876,Merchant previously linked to fraud ring.,2025-01-31 11:05:08
tx_2024-01_49626,Cardholder reported unauthorized transaction.,2025-06-01 19:55:55
tx_2024-01_99832,Merchant previously linked to fraud ring.,2025-03-30 18:29:05
tx_2024-01_138970,Multiple failed attempts before success.,2025-02-14 10:39:08
tx_2024-01_6205,Device fingerprint inconsistent.,2025-09-22 02:42:28
tx_2024-01_48481,Cardholder reported unauthorized transaction.,2025-03-24 04:45:05
tx_2024-01_12840,Cardholder reported unauthorized transaction.,2025-11-30 10:54:30
tx_2024-01_42197,Multiple failed attempts before success.,2025-04-01 00:57:08
tx_2024-01_113811,Multiple failed attempts before success.,2025-04-15 20:51:07
tx_2024-01_48113,Cardholder reported unauthorized transaction.,2025-08-25 04:52:06
tx_2024-01_5906,Device fingerprint inconsistent.,2025-08-13 17:59:35
tx_2024-01_30505,Merchant previously linked to fraud ring.,2025-08-04 09:42:16
tx_2024-01_90479,Cardholder reported unauthorized transaction.,2025-08-10 02:29:51
tx_2024-01_107793,Cardholder reported unauthorized transaction.,2025-07-22 15:55:12
tx_2024-01_438,Cardholder reported unauthorized transaction.,2025-10-17 09:05:30
tx_2024-01_38165,Multiple failed attempts before success.,2025-08-27 11:49:54
tx_2024-01_91289,Device fingerprint inconsistent.,2025-06-06 05:31:34
tx_2024-01_19407,Cardholder reported unauthorized transaction.,2025-09-08 06:20:55
tx_2024-01_93140,Merchant previously linked to fraud ring.,2025-05-03 17:41:31
tx_2024-01_126093,Multiple failed attempts before success.,2025-07-09 10:33:31
tx_2024-01_11364,Device fingerprint inconsistent.,2025-06-30 10:32:44
tx_2024-01_113350,Cardholder reported unauthorized transaction.,2025-07-18 07:12:55
tx_2024-01_142596,Multiple failed attempts before success.,2025-01-05 05:35:45
tx_2024-01_110159,Multiple failed attempts before success.,2025-07-26 15:29:00
tx_2024-01_102174,Merchant previously linked to fraud ring.,2025-12-07 13:58:14
tx_2024-01_105617,Merchant previously linked to fraud ring.,2025-05-13 01:15:59
tx_2024-01_33197,Merchant previously linked to fraud ring.,2025-01-20 01:44:50
tx_2024-01_41823,Device fingerprint inconsistent.,2025-10-12 17:50:04
tx_2024-01_135609,Multiple failed attempts before success.,2025-11-25 08:00:01
tx_2024-01_10555,Cardholder reported unauthorized transaction.,2025-03-30 20:30:24
tx_2024-01_98891,Multiple failed attempts before success.,2025-11-23 14:00:24
tx_2024-01_21181,Merchant previously linked to fraud ring.,2025-12-06 17:07:31
tx_2024-01_25286,Device fingerprint inconsistent.,2025-12-10 19:25:24
tx_2024-01_101269,Cardholder reported unauthorized transaction.,2025-09-21 02:55:38
tx_2024-01_58717,Merchant previously linked to fraud ring.,2025-10-04 14:00:38
tx_2024-01_52904,Merchant previously linked to fraud ring.,2025-03-01 01:13:12
tx_2024-01_90091,Device fingerprint inconsistent.,2025-06-17 16:49:45
tx_2024-01_93429,Multiple failed attempts before success.,2025-02-07 21:29:20
tx_2024-01_8671,Device fingerprint inconsistent.,2025-08-04 20:05:40
tx_2024-01_86380,Device fingerprint inconsistent.,2025-10-28 12:11:28
tx_2024-01_111207,Device fingerprint inconsistent.,2025-12-15 18:22:04
tx_2024-01_105650,Merchant previously linked to fraud ring.,2025-10-21 01:59:59
tx_2024-01_104255,Device fingerprint inconsistent.,2025-03-05 07:10:23
tx_2024-01_93929,Merchant previously linked to fraud ring.,2025-09-16 22:35:42
tx_2024-01_123204,Multiple failed attempts before success.,2025-01-31 10:42:20
tx_2024-01_46368,Multiple failed attempts before success.,2025-09-23 13:36:35
tx_2024-01_27593,Cardholder reported unauthorized transaction.,2025-10-07 17:36:09
tx_2024-01_101067,Merchant previously linked to fraud ring.,2025-07-03 05:42:31
tx_2024-01_133820,Cardholder reported unauthorized transaction.,2025-07-14 14:46:21
tx_2024-01_97708,Merchant previously linked to fraud ring.,2025-11-30 03:54:07
tx_2024-01_78275,Device fingerprint inconsistent.,2025-10-02 02:36:37
tx_2024-01_115473,Device fingerprint inconsistent.,2025-03-30 08:03:26
tx_2024-01_48401,Cardholder reported unauthorized transaction.,2025-04-01 01:13:06
tx_2024-01_116676,Cardholder reported unauthorized transaction.,2025-04-22 06:51:11
tx_2024-01_32080,Multiple failed attempts before success.,2025-05-17 06:40:56
tx_2024-01_126407,Multiple failed attempts before success.,2025-11-20 12:24:22
